id,dimension,text,rater_one,rater_two,rater_three,average_score,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
AU01.000846,d1_illness_beliefs,"Ich habe den Eindruck, sie haben noch einige Zweifel, was die Behandlung hier betrifft und trotzdem sind sie gekommen und wünschen sich, glaube ich, auch etwas. Also vielleicht können wir gemeinsam mal schauen, was wir hier gemeinsam besprechen müssen.",2,3,2,2.333,text_en,I have the impression that they still have some doubts about the treatment here and yet they came and I think they also want something. So maybe we can take a look together at what we need to discuss together here.,1,41,1.25,94.335,2.54,,20.5,14.634,97.561,85.366,70.732,24.39,17.073,4.878,4.878,0,0,7.317,7.317,12.195,7.317,0,7.317,7.317,19.512,9.756,0,21.951,0,2.439,9.756,9.756,0,0,19.512,0,19.512,2.439,0,9.756,9.756,0,0,0,0,0,0,0,0,0,0,0,0,0,17.073,4.878,0,0,0,0,2.439,12.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,2.439,2.439,0,0,0,0,0,0,19.512,9.756,2.439,2.439,4.878,2.439,0,0,2.439,2.439,2.439,0,0,0,0,0,0,4.878,4.878,0,0,0,0,0,0
AU01.000847,d1_illness_beliefs,"Ja, ich verstehe, Sie merken, dass es da einen Zusammenhang geben könnte zwischen dem Kontaktabbruch mit Ihrer Familie und den Beschwerden, die Sie aufzählen. Was glauben Sie denn, wie das miteinander zusammenhängen könnte?",4,4,4,4.0,text_en,"Yes, I understand, you realize that there could be a connection between the loss of contact with your family and the complaints you list. How do you think these could be related to each other?",1,35,31.664,99,80.493,1,17.5,20,94.286,80,68.571,20,14.286,2.857,0,11.429,0,0,5.714,22.857,8.571,0,11.429,14.286,5.714,2.857,0,22.857,2.857,0,2.857,2.857,0,0,25.714,2.857,22.857,14.286,2.857,5.714,0,0,2.857,0,5.714,0,5.714,2.857,0,2.857,0,0,0,0,20,2.857,0,0,2.857,0,2.857,14.286,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,0,5.714,8.571,0,0,8.571,0,0,0,0,0,2.857,0,2.857,0,2.857,0,0,11.429,2.857,5.714,2.857,0,0,0,0
AU01.000848,d1_illness_beliefs,"Sie sagen, Ihre Flucht könnte eine Strafe Gottes sein oder die Symptome, die da entstanden sind. Wie meinen Sie das dann? Also was wäre dann die Strafe Gottes? Also wofür würde er Sie bestrafen?",1,3,2,2.0,text_en,They say your escape could be a punishment from God or the symptoms that arose. What do you mean then? So what would be God's punishment then? So what would he punish you for?,1,34,1,99,1,1,8.5,8.824,97.059,82.353,70.588,26.471,14.706,0,0,8.824,2.941,2.941,11.765,11.765,5.882,0,5.882,17.647,5.882,14.706,0,29.412,0,0,11.765,0,0,11.765,14.706,0,14.706,2.941,0,8.824,2.941,0,2.941,0,11.765,0,11.765,0,0,0,0,0,0,0,26.471,11.765,0,0,0,0,2.941,14.706,0,0,0,2.941,0,0,0,0,5.882,0,0,0,0,5.882,2.941,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941,0,2.941,2.941,0,2.941,0,0,0,0,5.882,0,0,0,0,0,0,0,0,14.706,2.941,0,8.824,0,2.941,0,0
AU01.000886,d1_illness_beliefs,"Ich verstehe, dass Zweifel aufkommen können, auch wenn das alles hier der Psychotherapie ganz neu ist. Aber die Psychotherapie ist auch dazu da, um ihnen zu zeigen und dass sie lernen, dass sie auch selbst Einfluss auf ihr Leben nehmen können und etwas verändern können.",2,2,2,2.0,text_en,"I understand that doubts can arise, even if this is all completely new to psychotherapy. But psychotherapy is also there to show them and help them learn that they can also influence their lives and change something.",1,37,1,56.181,55.76,93.119,18.5,16.216,97.297,78.378,67.568,24.324,13.514,2.703,0,0,0,10.811,10.811,13.514,0,0,5.405,10.811,13.514,16.216,0,18.919,2.703,2.703,5.405,2.703,0,2.703,40.541,2.703,29.73,5.405,5.405,5.405,8.108,2.703,5.405,0,5.405,5.405,0,0,0,0,0,0,0,0,18.919,8.108,2.703,0,0,0,0,10.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.108,5.405,0,0,5.405,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405,8.108,0,0,5.405,2.703,0,0,5.405,0,13.514,0,0,0,0,0,0,8.108,5.405,2.703,0,0,0,0,0
AU01.000887,d1_illness_beliefs,"Ich verstehe, dass Sie sich gerade so fühlen, als würden Sie in der Situation feststecken und da nicht mehr rauskommen, aber die Psychotherapie hier ist eben ein Weg, um an den Panikattacken zu arbeiten und den Umgang damit zu verbessern und dann auch die Panikattacken zu verbessern.",2,2,2,2.0,text_en,"I understand that you feel like you're stuck in the situation and can't get out of it, but psychotherapy here is just a way to work on the panic attacks and improve how you deal with them and then improve the panic attacks too.",1,44,38.374,78.098,89.393,1,44,15.909,100,75,65.909,15.909,11.364,2.273,0,6.818,0,2.273,4.545,11.364,9.091,0,15.909,6.818,9.091,11.364,2.273,15.909,0,0,6.818,0,6.818,0,18.182,0,13.636,6.818,2.273,2.273,0,0,4.545,0,13.636,4.545,9.091,9.091,0,9.091,9.091,0,0,0,9.091,0,0,0,0,0,0,9.091,0,0,0,0,0,0,0,0,4.545,0,0,4.545,0,0,11.364,11.364,0,0,11.364,0,0,0,0,0,0,2.273,0,0,0,0,0,0,13.636,13.636,0,0,11.364,0,0,2.273,2.273,2.273,9.091,0,0,0,0,0,0,9.091,2.273,2.273,0,0,4.545,0,0
AU01.000888,d1_illness_beliefs,"Ich kann gut verstehen, dass sie sich jetzt, ja, dass sie zweifeln und sich Schuld zuweisen. Es geht sehr vielen Menschen so wie ihnen in Situationen, die sehr schlimme Dinge erleben mussten und Entscheidungen treffen mussten, die auch sehr hart waren, dass man im Nachhinein, ja, sich die Schuld gibt und eine Erklärung dafür sucht.",2,2,2,2.0,text_en,"I can well understand that they are now doubting and blaming themselves. A lot of people like you in situations who have had to experience very bad things and have to make decisions that were also very hard, that in retrospect, yes, you blame yourself and look for an explanation for it.",1,52,11.076,99,19.904,1,26,19.231,98.077,73.077,63.462,23.077,13.462,1.923,0,5.769,0,3.846,9.615,9.615,3.846,0,15.385,11.538,9.615,7.692,0,17.308,3.846,1.923,0,0,0,0,23.077,1.923,15.385,5.769,1.923,1.923,1.923,0,0,1.923,7.692,1.923,5.769,1.923,0,1.923,0,0,0,0,17.308,3.846,0,0,0,3.846,0,13.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,3.846,11.538,9.615,3.846,0,3.846,3.846,0,1.923,3.846,7.692,5.769,3.846,1.923,0,1.923,0,0,9.615,3.846,5.769,0,0,0,0,0
AU01.000902,d1_illness_beliefs,"Ja, Sie haben recht. Ich muss das wissen. Und dadurch, dass Sie mir wichtig sind, möchte ich genau wissen, welche Symptome im Moment Sie haben. Und genau, um dementsprechend zu reagieren, wie Sie sich das von mir wünschen als Experte.",2,2,2,2.0,text_en,"Yes, you are right. I need to know this. And because I care about you, I want to know exactly what symptoms you are having at the moment. And exactly to react accordingly, as you would like me to as an expert.",1,42,29.116,88.15,2.357,98.65,10.5,11.905,97.619,80.952,64.286,23.81,19.048,9.524,0,9.524,0,0,4.762,7.143,4.762,0,19.048,9.524,2.381,11.905,0,23.81,0,0,2.381,0,2.381,2.381,33.333,2.381,23.81,4.762,4.762,9.524,0,4.762,0,0,7.143,7.143,0,4.762,4.762,0,0,0,0,0,11.905,2.381,2.381,0,0,0,0,9.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.381,2.381,0,0,0,0,0,0,0,2.381,2.381,0,0,0,0,0,0,0,11.905,0,0,0,0,0,0,0,2.381,0,4.762,0,2.381,0,2.381,0,0,16.667,9.524,7.143,0,0,0,0,0
AU01.000905,d1_illness_beliefs,"Es hört sich alles sehr belastend an und das genau zu verstehen, meinen sie, also wenn sie sagen, das ist keine Zufall, dann was wäre dann? Der Schicksal?",1,1,2,1.333,text_en,"It all sounds very stressful and to understand that exactly, they say, so if they say that this is not a coincidence, then what would be? The fate?",1,28,1,21.489,8.952,1,14,14.286,96.429,85.714,71.429,25,7.143,0,0,0,0,7.143,17.857,21.429,7.143,0,3.571,10.714,7.143,14.286,3.571,21.429,3.571,3.571,0,0,0,0,28.571,3.571,17.857,3.571,0,3.571,3.571,3.571,7.143,0,3.571,0,3.571,3.571,0,3.571,3.571,0,0,0,14.286,7.143,0,0,0,0,7.143,7.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,0,0,0,0,3.571,0,3.571,0,3.571,3.571,0,0,0,0,0,17.857,0,10.714,7.143,0,0,0,0
AU01.000906,d1_illness_beliefs,"Ich verstehe Sie richtig, dass alleine sein viel schlimmer sich anfühlt, als mit jemandem zu sein, der sich nicht gut behandelt.",1,2,2,1.667,text_en,I understand you correctly that being alone feels much worse than being with someone who doesn't treat you well.,1,19,1,98.266,93.145,20.235,19,15.789,89.474,84.211,73.684,31.579,21.053,5.263,0,10.526,0,0,10.526,10.526,0,0,10.526,15.789,10.526,5.263,5.263,26.316,15.789,5.263,0,0,0,0,31.579,0,26.316,15.789,0,0,5.263,0,5.263,0,10.526,5.263,5.263,0,0,0,0,0,0,0,31.579,10.526,10.526,0,0,0,0,21.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263,0,0,0,0,0,5.263,0,0,10.526,0,0,0,0,0,0,10.526,5.263,0,0,0,5.263,0,0
AU01.000967,d1_illness_beliefs,"Wenn ich mich in Ihre Situation hineinversetze, dann kann ich das gut verstehen, dass Sie nicht schlafen können und dass es Ihnen damit nicht gut geht. Ich würde gerne noch mal auf den ersten Teil des Satzes oder des Abschnitts zurückkommen. Inwiefern würden Sie das denn als Bestrafung Gottes sehen?",3,4,3,3.333,text_en,"If I put myself in your situation, then I can understand that you can't sleep and that you're not feeling well. I would like to go back to the first part of the sentence or paragraph. To what extent would you see this as a punishment from God?",1,48,13.267,11.658,89.393,82.999,16,12.5,93.75,81.25,68.75,25,16.667,8.333,0,8.333,0,0,8.333,16.667,6.25,2.083,14.583,10.417,2.083,10.417,4.167,20.833,2.083,4.167,2.083,0,0,2.083,27.083,0,25,4.167,0,10.417,4.167,0,10.417,0,8.333,6.25,2.083,4.167,4.167,0,0,0,0,0,10.417,2.083,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,2.083,0,0,0,0,2.083,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0,4.167,6.25,2.083,0,2.083,2.083,0,6.25,0,0,0,0,0,0,12.5,4.167,2.083,2.083,0,4.167,0,0
