dimension,feature,mean_importance,std_across_folds,n_folds
d5_ambiguity_tolerance,QMark,0.03015407040005439,0.018291674030504565,5
d5_ambiguity_tolerance,Authentic,0.023863219503721483,0.01486788059335663,5
d5_ambiguity_tolerance,ipron,0.017203859325361646,0.0187337696273045,5
d5_ambiguity_tolerance,tentat,0.01197626456511806,0.009332980039766913,5
d5_ambiguity_tolerance,we,0.010743437729578583,0.009446244606895714,5
d5_ambiguity_tolerance,Drives,0.009974737352456055,0.009932757307156462,5
d5_ambiguity_tolerance,Affect,0.008106118095538828,0.006726473698137252,5
d5_ambiguity_tolerance,adverb,0.007855588320451181,0.007817744552165466,5
d5_ambiguity_tolerance,time,0.007357960844451903,0.014510038836467025,5
d5_ambiguity_tolerance,differ,0.00681259627456314,0.012000900254571277,5
d5_ambiguity_tolerance,Cognition,0.006698150298133955,0.012473000721953906,5
d5_ambiguity_tolerance,relig,0.005518070844095031,0.00529505126248594,5
d5_ambiguity_tolerance,allure,0.005125845081265323,0.009340351509061111,5
d5_ambiguity_tolerance,function,0.0047616365451781315,0.005494734958161702,5
d5_ambiguity_tolerance,Social,0.004504478034660574,0.004974028556444756,5
d5_ambiguity_tolerance,auxverb,0.004185901770005967,0.006460452882410933,5
d5_ambiguity_tolerance,assent,0.004035857250758195,0.005536484859544636,5
d5_ambiguity_tolerance,conj,0.0039886773351772,0.008312287029868451,5
d5_ambiguity_tolerance,space,0.0036444771520967047,0.005151110396894072,5
d5_ambiguity_tolerance,auditory,0.0033308220670927985,0.0046026632699517345,5
d5_ambiguity_tolerance,ethnicity,0.003245945227958983,0.002852308771899674,5
d5_ambiguity_tolerance,quantity,0.0032143777964437742,0.004731995984329941,5
d5_ambiguity_tolerance,Lifestyle,0.0030987535631711526,0.004646697082064987,5
d5_ambiguity_tolerance,Comma,0.0025972245303491257,0.004920619562297391,5
d5_ambiguity_tolerance,visual,0.002420288630538928,0.004840577261077856,5
d5_ambiguity_tolerance,focuspresent,0.0022170673189400372,0.004444130659630187,5
d5_ambiguity_tolerance,affiliation,0.0022124789359150186,0.006539006339375797,5
d5_ambiguity_tolerance,focusfuture,0.0020570798668989674,0.0025174339779750685,5
