language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d4_family_system,1,WC,int64,0,0.0,88,0.0357,False,False,False,8.0,221.0,49.174107142857146,31.09195170912626
en,d4_family_system,2,Analytic,float64,0,0.0,133,0.25,False,False,False,1.0,76.529,12.691075892857143,16.781044844420375
en,d4_family_system,3,Clout,float64,0,0.0,73,0.5893,False,False,False,1.0,99.0,90.69916517857143,18.71168510851966
en,d4_family_system,4,Authentic,float64,0,0.0,131,0.1339,False,False,False,1.0,99.0,36.18679017857143,33.05234199914468
en,d4_family_system,5,Tone,float64,41,0.183,87,0.183,False,False,False,1.0,99.0,36.92918579234973,34.007471133713345
en,d4_family_system,6,WPS,float64,0,0.0,111,0.0446,False,False,False,5.6,106.0,20.220491071428572,11.917249040006434
en,d4_family_system,7,BigWords,float64,0,0.0,152,0.0357,False,False,False,0.0,41.176,14.014486607142857,6.224107946586525
en,d4_family_system,8,Dic,float64,0,0.0,89,0.3795,False,False,False,80.0,100.0,97.11157142857142,3.3318653879598656
en,d4_family_system,9,Linguistic,float64,0,0.0,138,0.0491,False,False,False,64.706,100.0,80.79740625000001,6.1591973903596955
en,d4_family_system,10,function,float64,0,0.0,137,0.0625,False,False,False,50.0,80.0,67.84605803571428,5.1600355971959875
en,d4_family_system,11,pronoun,float64,0,0.0,139,0.0446,False,False,False,9.524,43.243,26.195504464285712,5.718895019331308
en,d4_family_system,12,ppron,float64,0,0.0,135,0.0402,False,False,False,4.762,33.333,16.178263392857144,4.6599399337243055
en,d4_family_system,13,i,float64,0,0.0,82,0.4062,False,False,False,0.0,11.111,1.8967946428571432,2.093752719619219
en,d4_family_system,14,we,float64,0,0.0,22,0.8973,False,False,False,0.0,6.299,0.22076339285714286,0.781582482499366
en,d4_family_system,15,you,float64,0,0.0,133,0.2009,False,False,False,0.0,33.333,8.335946428571429,6.858284199967279
en,d4_family_system,16,shehe,float64,0,0.0,72,0.6071,False,False,False,0.0,14.815,2.017977678571428,3.2695331511402888
en,d4_family_system,17,they,float64,0,0.0,94,0.5089,False,False,False,0.0,21.277,3.536084821428571,4.7714949943977
en,d4_family_system,18,ipron,float64,0,0.0,137,0.0446,False,False,False,0.0,25.0,10.01727232142857,4.7756218210329875
en,d4_family_system,19,det,float64,0,0.0,139,0.0804,False,False,False,0.0,33.333,16.336941964285714,5.046425463261893
en,d4_family_system,20,article,float64,0,0.0,102,0.2277,False,False,False,0.0,14.706,3.953455357142857,3.0132162885504123
en,d4_family_system,21,number,float64,0,0.0,21,0.9018,False,False,False,0.0,3.226,0.16661160714285714,0.5528687402903428
en,d4_family_system,22,prep,float64,0,0.0,139,0.0491,False,False,False,0.0,29.412,12.607758928571428,4.661495667798746
en,d4_family_system,23,auxverb,float64,0,0.0,124,0.0357,False,False,False,0.0,30.0,11.523977678571429,4.249513477237305
en,d4_family_system,24,adverb,float64,0,0.0,124,0.058,False,False,False,0.0,23.529,8.678571428571427,4.542055500021842
en,d4_family_system,25,conj,float64,0,0.0,127,0.0714,False,False,False,0.0,19.048,7.371723214285715,3.724970254095748
en,d4_family_system,26,negate,float64,0,0.0,57,0.6607,False,False,False,0.0,16.667,1.0836875000000001,2.1277711470861234
en,d4_family_system,27,verb,float64,0,0.0,145,0.0357,False,False,False,8.772,40.0,20.528044642857143,5.6318137022164905
en,d4_family_system,28,adj,float64,0,0.0,106,0.2232,False,False,False,0.0,14.286,3.9318571428571434,3.164754004302932
en,d4_family_system,29,quantity,float64,0,0.0,69,0.5804,False,False,False,0.0,9.091,1.3858303571428574,1.990454169451952
en,d4_family_system,30,Drives,float64,0,0.0,118,0.0402,False,False,False,0.0,20.0,6.740982142857143,3.4407367783884646
en,d4_family_system,31,affiliation,float64,0,0.0,116,0.058,False,False,False,0.0,20.0,5.490669642857143,3.2146498345132697
en,d4_family_system,32,achieve,float64,0,0.0,43,0.7455,False,False,False,0.0,6.452,0.6161160714285714,1.2143729766333415
en,d4_family_system,33,power,float64,0,0.0,47,0.7411,False,False,False,0.0,7.692,0.676330357142857,1.3574308487760403
en,d4_family_system,34,Cognition,float64,0,0.0,150,0.0536,False,False,False,8.108,50.0,28.211366071428568,7.786680758679406
en,d4_family_system,35,allnone,float64,0,0.0,63,0.6205,False,False,False,0.0,7.937,1.176642857142857,1.7862181501565677
