id,dimension,variant_id,model,model_path,llm_score,raw_response,error,attempts,average_score,timestamp
AU01.000846,d1_illness_beliefs,V1_full_manual_baseline,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,3,"{
  ""score"": 3,
  ""brief_rationale"": ""Der Therapeut fragt nach den subjektiven Krankheits- und Heilungsvorstellungen der Patientin und validiert ihre Sichtweise. Er erklärt die Rolle des Therapeuten und geht auf ihre Zweifel und Bedenken ein. Der Therapeut fragt nach Heilvorstellungen und klärt Erwartungen an die Therapie. Er definiert die Rolle als Therapeut und zeigt sich verständnisvoll und sensibel für Zweifel und Einwände. Der Therapeut fragt nach dem Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden der Patientin und validiert ihre Offenheit. Der Therapeut erklärt, dass er die Symptome der Patientin nicht einfach so als körperliche Beschwerden betrachtet, sondern dass er eine Verbindung zu ihrer emotionalen Situation herstellen möchte. Der Therapeut erklärt, dass er die Patientin nicht alleine aus ihrer Situation herausholen kann, aber dass er ihr helfen kann, indem er mit ihr zusammenarbeitet, um herauszufinden, wie sie am besten unterstützt werden kann.""
}",,1,2.333,2026-07-18T13:43:50
AU01.000846,d1_illness_beliefs,V2_no_anchors,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Rater hat das Krankheits- und Heilverständnis der Patientin exploriert und validiert. Der Rater hat das Erklärungsmodell der Patientin zusammengefasst und nach Heilvorstellungen gefragt. Der Rater hat auch auf die Offenheit der Patientin für Zweifel und Bedenken eingegangen und ihre Vorbehalte respektiert. Der Rater hat die Erwartungen der Patientin an die Therapie definiert und die Rolle als Therapeut klar definiert. Der Rater hat sich verständnisvoll und sensibel für die Zweifel der Patientin gezeigt und ihre Offenheit für die Exploration des Krankheits- und Heilverständnisses validiert.""
}",,1,2.333,2026-07-18T13:43:56
AU01.000846,d1_illness_beliefs,V3_no_rationale,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,3,"{
  ""score"": 3
}",,1,2.333,2026-07-18T13:43:58
AU01.000846,d1_illness_beliefs,V4_evidence_before_score,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""brief_rationale"": ""Die Rat:in hat die Zweifel der Patient:in bezüglich der Behandlung erkannt und versucht, diese zu validieren. Es wird jedoch nicht deutlich, ob die Rat:in das subjektive Krankheits- und Heilungsverständnis der Patient:in explizit erfragt hat."",
  ""score"": 2
}",,1,2.333,2026-07-18T13:44:03
AU01.000846,d1_illness_beliefs,V5_structured_checklist,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,3,"{
  ""score"": 3,
  ""brief_rationale"": ""Die Reaktion des Therapeuten zeigt, dass er die subjektiven Krankheits- und Heilungsvorstellungen der Patientin erforscht hat. Der Therapeut fragt nach dem Erklärungsmodell der Patientin und validiert ihre Sichtweise. Der Therapeut passt den therapeutischen Stil flexibel an und definiert die Rolle der Therapeutin. Der Therapeut geht auf offensichtliche Vorbehalte und Bedenken der Patientin ein und zeigt Verständnis und Sensibilität gegenüber Zweifeln und Einwänden der Patientin. Der Therapeut validiert die Offenheit der Patientin, eigene Zweifel oder Bedenken zu äußern."" 
}",,1,2.333,2026-07-18T13:44:10
AU01.000846,d1_illness_beliefs,V6_minimal_natural,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Therapeut erkundigt sich nach den subjektiven Krankheits- und Heilungsvorstellungen des Patienten und zeigt Interesse an der individuellen Perspektive des Patienten."" 
}",,1,2.333,2026-07-18T13:44:12
AU01.000847,d1_illness_beliefs,V1_full_manual_baseline,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,3,"{
  ""score"": 3,
  ""brief_rationale"": ""Der Therapeut fragt nach dem subjektiven Erklärungsmodell des Patienten und validiert dessen Sichtweise. Er fragt nach Heilvorstellungen und definiert die Rolle als Therapeut. Er geht auf offensichtliche Vorbehalte des Patienten ein und zeigt sich verständnisvoll und sensibel für Zweifel und Einwände. Der Therapeut fragt nach dem Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten und zeigt Interesse an der Exploration der Symptomatik."" 
}",,1,4.0,2026-07-18T13:44:18
AU01.000847,d1_illness_beliefs,V2_no_anchors,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Rater hat das Krankheits- und Heilverständnis der Patientin exploriert und validiert. Der Rater hat das Erklärungsmodell der Patientin zusammengefasst und nach Heilvorstellungen gefragt. Der Rater hat auch die Erwartungen der Patientin an die Therapie geklärt und die Rolle als Therapeut definiert. Der Rater hat sich verständnisvoll und sensibel für Zweifel der Patientin gezeigt und Vorbehalte der Patientin angesprochen. Der Rater hat das Erklärungsmodell der Patientin validiert und die Offenheit der Patientin für Zweifel und Einwände anerkannt.""
}",,1,4.0,2026-07-18T13:44:24
AU01.000847,d1_illness_beliefs,V3_no_rationale,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""score"": 2
}",,1,4.0,2026-07-18T13:44:26
AU01.000847,d1_illness_beliefs,V4_evidence_before_score,teuken_7b_instruct,/home/woody/iwso/iwso237h/models/teuken_7b_instruct,2,"{
  ""brief_rationale"": ""Ich verstehe, dass Sie glauben, dass der Kontaktabbruch mit Ihrer Familie ein Auslöser für Ihre Beschwerden sein könnte. Ich frage mich, ob Sie auch andere mögliche Ursachen in Betracht ziehen könnten."",
  ""score"": 2
}",,1,4.0,2026-07-18T13:44:30
