id,dimension,variant_id,model,average_score,llm_score,brief_rationale,error,attempts,runtime_seconds,timestamp
AU01.000846,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.333,2,"Die Therapeutin zeigt eine sensible Wahrnehmung von Zweifeln der Patientin und öffnet den Raum für gemeinsame Gespräche. Allerdings wird das subjektive Krankheits- und Heilungsvorstellungen der Patientin nicht explizit erfragt. Es fehlen zentrale Elemente wie Fragen nach der persönlichen Erklärung der Beschwerden, Heilvorstellungen oder Klärung von Erwartungen an die Therapie. Die Aussage bleibt allgemein und bietet keine explizite Exploration des Erklärungsmodells oder der Heilvorstellungen, was die Aufgabenstellung nur teilweise erfüllt.",,1,2.301,2026-07-14T18:23:27
AU01.000847,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,4.0,4,"Die Therapeut:in fragt explizit nach dem subjektiven Erklärungsmodell der Patient:in, indem sie nach der möglichen Verbindung zwischen dem Kontaktabbruch mit der Familie und den Beschwerden fragt. Dies entspricht dem Leistungsmerkmal 'Fragt nach Erklärungsmodellen'. Zudem wird die Sichtweise der Patient:in validiert und die Frage wird in einer verständlichen, empathischen und flexibel angepassten Form gestellt, was die Basisfertigkeiten der Gesprächsführung erfüllt. Die Reaktion ist klar, nicht suggestiv und zielt direkt auf die Exploration des Krankheitsverständnisses ab.",,1,1.041,2026-07-14T18:23:28
AU01.000848,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,3,"Die Therapeut:in fragt nach dem subjektiven Erklärungsmodell der Patient:in, indem sie konkret nach der Bedeutung der Flucht als Strafe Gottes und dem entsprechenden Sündenbild fragt. Dies entspricht dem Leistungsmerkmal 'Fragt nach Erklärungsmodellen'. Allerdings wird die Fragestellung durch die Wiederholung ('Also was wäre dann...?') und die suggestive Formulierung ('Also wofür würde er Sie bestrafen?') etwas übersteigert und könnte als fordernd oder leicht manipulativ wirken. Zudem fehlt eine Validierung der Sichtweise oder eine Sensibilisierung für mögliche Zweifel. Die Reaktion ist verständlich, aber nicht flexibel genug im therapeutischen Stil, um eine exzellente Umsetzung zu rechtfertigen.",,1,1.092,2026-07-14T18:23:29
AU01.000886,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Aussage zeigt eine grundlegende Anerkennung von Zweifeln und vermittelt eine positive Haltung gegenüber der Therapie. Allerdings wird das subjektive Krankheits- und Heilungsvorstellungen der Patient:in nicht explizit erfragt. Es fehlen konkrete Fragen nach der persönlichen Erklärung der Beschwerden, Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion bleibt auf eine allgemeine Erklärung der Therapiefunktion beschränkt und erfüllt damit die Aufgabenstellung nur teilweise. Die Gesprächsführung ist verständlich, aber nicht ausreichend auf die Exploration des individuellen Erklärungsmodells ausgerichtet.",,1,1.577,2026-07-14T18:23:31
AU01.000887,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,1,"Die Aussage zeigt Verständnis für das Erleben der Patientin („Ich verstehe, dass Sie sich gerade so fühlen…“), aber es wird kein expliziter Fokus auf das subjektive Krankheits- oder Heilungsvorstellungen der Patientin gelegt. Es erfolgt keine Exploration der persönlichen Erklärungsmodelle (z. B. durch Fragen wie „Wie erklären Sie sich Ihre Beschwerden?“), keine Klärung von Heilvorstellungen oder Erwartungen an die Therapie. Stattdessen wird eine therapeutische Perspektive vorgegeben („die Psychotherapie ist ein Weg…“), was die Patientin möglicherweise übergeht. Es fehlen alle Leistungsmerkmale zur Exploration des subjektiven Erklärungs- und Heilungsvorstellungsmodells. Die Reaktion ist zwar verständlich, aber nicht ausreichend auf die Zieldimension ausgerichtet.",,1,1.246,2026-07-14T18:23:32
AU01.000888,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,2,"Die Therapeut:in zeigt Verständnis für die Zweifel und Schuldgefühle der Patient:in und verweist auf allgemeine Erfahrungen anderer Menschen in ähnlichen Situationen. Dies zeigt eine grundlegende Empathie und Validierung, jedoch fehlt die explizite Exploration des subjektiven Erklärungsmodells oder Heilungsvorstellungen der Patient:in. Es werden keine Fragen nach der persönlichen Deutung der Probleme, nach Heilvorstellungen oder Erwartungen an die Therapie gestellt. Die Reaktion bleibt auf eine allgemeine, nicht individualisierte Validierung beschränkt und erfüllt damit die Aufgabenstellung nur teilweise.",,1,0.941,2026-07-14T18:23:33
AU01.000902,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,2.0,1,"Die Aussage zeigt eine gewisse Aufmerksamkeit für die Patient:in und die Bedeutung ihrer Symptome, jedoch erfolgt keine explizite Exploration der subjektiven Krankheits- oder Heilungsvorstellungen. Es wird nicht nach der persönlichen Erklärung der Beschwerden, nach Heilvorstellungen oder Erwartungen an die Therapie gefragt. Die Formulierung 'wie Sie sich das von mir wünschen als Experte' suggeriert eine passive Rolle des Therapeut:in und vermeidet eine aktive Exploration der Patient:innsicht. Es fehlen alle zentralen Leistungsmerkmale wie das Zusammenfassen von Erklärungsmodellen, das Fragen nach Heilvorstellungen oder das Validieren der Sichtweise. Die Reaktion ist zudem leicht abwertend und distanziert, da sie die Patient:in in eine passive Rolle drängt und die eigene Expertise überbetont.",,1,1.425,2026-07-14T18:23:35
AU01.000905,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.333,2,"Die Therapeutin fragt nach der subjektiven Erklärung des Problems („was wäre dann? Der Schicksal?“), was auf die Exploration des Krankheitsverständnisses hindeutet. Allerdings erfolgt die Frage eher suggestiv und unklar formuliert, was die Verständlichkeit beeinträchtigt. Es fehlt eine klare Validierung der Sichtweise der Patientin, eine explizite Klärung von Heilvorstellungen oder Erwartungen an die Therapie. Die Reaktion ist grundlegend verständlich und zeigt eine erste Annäherung an die Dimension, erfüllt die Aufgabenstellung aber nur teilweise. Daher wird eine Bewertung von 2 vergeben.",,1,1.744,2026-07-14T18:23:36
AU01.000906,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,1.667,1,"Die Aussage des Therapeuten zeigt Verständnis für das Gefühl der Einsamkeit, aber es wird kein expliziter Versuch unternommen, die subjektive Krankheits- oder Heilungsvorstellung der Patient:in zu erfragen. Es fehlen Fragen nach dem eigenen Erklärungsmodell (z. B. 'Wie erklären Sie sich Ihre Beschwerden?'), Heilvorstellungen (z. B. 'Was glauben Sie, könnte Ihnen helfen?') oder eine Validierung des individuellen Verständnisses der Problematik. Die Reaktion bleibt auf eine einfache Wiederholung des Gesagten beschränkt und erfüllt damit nur teilweise die Aufgabenstellung. Es fehlt jegliche Exploration des subjektiven Krankheits- und Heilungsvorstellungsmodells.",,1,0.989,2026-07-14T18:23:37
AU01.000967,d1_illness_beliefs,V1_full_manual_baseline,qwen3-30b-a3b-instruct-2507,3.333,2,"Die Therapeut:in zeigt Verständnis für die emotionale Belastung der Patient:in und greift auf den Aspekt der religiösen Deutung von Symptomen ein. Allerdings wird das subjektive Erklärungsmodell nicht explizit und explorativ erfragt, sondern die Frage ist bereits auf eine bestimmte Deutung (Bestrafung Gottes) fokussiert und damit suggestiv. Es erfolgt keine offene Erkundung der Krankheits- oder Heilungsvorstellungen der Patient:in, sondern eine implizite Bestätigung einer bereits genannten Interpretation. Die Reaktion erfüllt die Aufgabenstellung nur teilweise, da sie nicht ausreichend explorativ und offen ist, sondern eine spezifische Deutung voraussetzt. Die Gesprächsführung ist verständlich, aber nicht flexibel genug, um das Erklärungsmodell der Patient:in selbst zu entfalten.",,1,1.941,2026-07-14T18:23:39
