id,dimension,text,rater_one,rater_two,rater_three,average_score
AU01.000846,d1_illness_beliefs,"Ich habe den Eindruck, sie haben noch einige Zweifel, was die Behandlung hier betrifft und trotzdem sind sie gekommen und wünschen sich, glaube ich, auch etwas. Also vielleicht können wir gemeinsam mal schauen, was wir hier gemeinsam besprechen müssen.",2,3,2,2.333
AU01.000847,d1_illness_beliefs,"Ja, ich verstehe, Sie merken, dass es da einen Zusammenhang geben könnte zwischen dem Kontaktabbruch mit Ihrer Familie und den Beschwerden, die Sie aufzählen. Was glauben Sie denn, wie das miteinander zusammenhängen könnte?",4,4,4,4.0
AU01.000848,d1_illness_beliefs,"Sie sagen, Ihre Flucht könnte eine Strafe Gottes sein oder die Symptome, die da entstanden sind. Wie meinen Sie das dann? Also was wäre dann die Strafe Gottes? Also wofür würde er Sie bestrafen?",1,3,2,2.0
AU01.000886,d1_illness_beliefs,"Ich verstehe, dass Zweifel aufkommen können, auch wenn das alles hier der Psychotherapie ganz neu ist. Aber die Psychotherapie ist auch dazu da, um ihnen zu zeigen und dass sie lernen, dass sie auch selbst Einfluss auf ihr Leben nehmen können und etwas verändern können.",2,2,2,2.0
AU01.000887,d1_illness_beliefs,"Ich verstehe, dass Sie sich gerade so fühlen, als würden Sie in der Situation feststecken und da nicht mehr rauskommen, aber die Psychotherapie hier ist eben ein Weg, um an den Panikattacken zu arbeiten und den Umgang damit zu verbessern und dann auch die Panikattacken zu verbessern.",2,2,2,2.0
AU01.000888,d1_illness_beliefs,"Ich kann gut verstehen, dass sie sich jetzt, ja, dass sie zweifeln und sich Schuld zuweisen. Es geht sehr vielen Menschen so wie ihnen in Situationen, die sehr schlimme Dinge erleben mussten und Entscheidungen treffen mussten, die auch sehr hart waren, dass man im Nachhinein, ja, sich die Schuld gibt und eine Erklärung dafür sucht.",2,2,2,2.0
AU01.000902,d1_illness_beliefs,"Ja, Sie haben recht. Ich muss das wissen. Und dadurch, dass Sie mir wichtig sind, möchte ich genau wissen, welche Symptome im Moment Sie haben. Und genau, um dementsprechend zu reagieren, wie Sie sich das von mir wünschen als Experte.",2,2,2,2.0
AU01.000905,d1_illness_beliefs,"Es hört sich alles sehr belastend an und das genau zu verstehen, meinen sie, also wenn sie sagen, das ist keine Zufall, dann was wäre dann? Der Schicksal?",1,1,2,1.333
AU01.000906,d1_illness_beliefs,"Ich verstehe Sie richtig, dass alleine sein viel schlimmer sich anfühlt, als mit jemandem zu sein, der sich nicht gut behandelt.",1,2,2,1.667
AU01.000967,d1_illness_beliefs,"Wenn ich mich in Ihre Situation hineinversetze, dann kann ich das gut verstehen, dass Sie nicht schlafen können und dass es Ihnen damit nicht gut geht. Ich würde gerne noch mal auf den ersten Teil des Satzes oder des Abschnitts zurückkommen. Inwiefern würden Sie das denn als Bestrafung Gottes sehen?",3,4,3,3.333
