id,dimension,text,text_en,rater_one,rater_two,rater_three,average_score
AU01.000846,d1_illness_beliefs,"Ich habe den Eindruck, sie haben noch einige Zweifel, was die Behandlung hier betrifft und trotzdem sind sie gekommen und wünschen sich, glaube ich, auch etwas. Also vielleicht können wir gemeinsam mal schauen, was wir hier gemeinsam besprechen müssen.",I have the impression that they still have some doubts about the treatment here and yet they came and I think they also want something. So maybe we can take a look together at what we need to discuss together here.,2,3,2,2.333
AU01.000847,d1_illness_beliefs,"Ja, ich verstehe, Sie merken, dass es da einen Zusammenhang geben könnte zwischen dem Kontaktabbruch mit Ihrer Familie und den Beschwerden, die Sie aufzählen. Was glauben Sie denn, wie das miteinander zusammenhängen könnte?","Yes, I understand, you realize that there could be a connection between the loss of contact with your family and the complaints you list. How do you think these could be related to each other?",4,4,4,4.0
AU01.000848,d1_illness_beliefs,"Sie sagen, Ihre Flucht könnte eine Strafe Gottes sein oder die Symptome, die da entstanden sind. Wie meinen Sie das dann? Also was wäre dann die Strafe Gottes? Also wofür würde er Sie bestrafen?",They say your escape could be a punishment from God or the symptoms that arose. What do you mean then? So what would be God's punishment then? So what would he punish you for?,1,3,2,2.0
AU01.000886,d1_illness_beliefs,"Ich verstehe, dass Zweifel aufkommen können, auch wenn das alles hier der Psychotherapie ganz neu ist. Aber die Psychotherapie ist auch dazu da, um ihnen zu zeigen und dass sie lernen, dass sie auch selbst Einfluss auf ihr Leben nehmen können und etwas verändern können.","I understand that doubts can arise, even if this is all completely new to psychotherapy. But psychotherapy is also there to show them and help them learn that they can also influence their lives and change something.",2,2,2,2.0
AU01.000887,d1_illness_beliefs,"Ich verstehe, dass Sie sich gerade so fühlen, als würden Sie in der Situation feststecken und da nicht mehr rauskommen, aber die Psychotherapie hier ist eben ein Weg, um an den Panikattacken zu arbeiten und den Umgang damit zu verbessern und dann auch die Panikattacken zu verbessern.","I understand that you feel like you're stuck in the situation and can't get out of it, but psychotherapy here is just a way to work on the panic attacks and improve how you deal with them and then improve the panic attacks too.",2,2,2,2.0
AU01.000888,d1_illness_beliefs,"Ich kann gut verstehen, dass sie sich jetzt, ja, dass sie zweifeln und sich Schuld zuweisen. Es geht sehr vielen Menschen so wie ihnen in Situationen, die sehr schlimme Dinge erleben mussten und Entscheidungen treffen mussten, die auch sehr hart waren, dass man im Nachhinein, ja, sich die Schuld gibt und eine Erklärung dafür sucht.","I can well understand that they are now doubting and blaming themselves. A lot of people like you in situations who have had to experience very bad things and have to make decisions that were also very hard, that in retrospect, yes, you blame yourself and look for an explanation for it.",2,2,2,2.0
AU01.000902,d1_illness_beliefs,"Ja, Sie haben recht. Ich muss das wissen. Und dadurch, dass Sie mir wichtig sind, möchte ich genau wissen, welche Symptome im Moment Sie haben. Und genau, um dementsprechend zu reagieren, wie Sie sich das von mir wünschen als Experte.","Yes, you are right. I need to know this. And because I care about you, I want to know exactly what symptoms you are having at the moment. And exactly to react accordingly, as you would like me to as an expert.",2,2,2,2.0
AU01.000905,d1_illness_beliefs,"Es hört sich alles sehr belastend an und das genau zu verstehen, meinen sie, also wenn sie sagen, das ist keine Zufall, dann was wäre dann? Der Schicksal?","It all sounds very stressful and to understand that exactly, they say, so if they say that this is not a coincidence, then what would be? The fate?",1,1,2,1.333
AU01.000906,d1_illness_beliefs,"Ich verstehe Sie richtig, dass alleine sein viel schlimmer sich anfühlt, als mit jemandem zu sein, der sich nicht gut behandelt.",I understand you correctly that being alone feels much worse than being with someone who doesn't treat you well.,1,2,2,1.667
AU01.000967,d1_illness_beliefs,"Wenn ich mich in Ihre Situation hineinversetze, dann kann ich das gut verstehen, dass Sie nicht schlafen können und dass es Ihnen damit nicht gut geht. Ich würde gerne noch mal auf den ersten Teil des Satzes oder des Abschnitts zurückkommen. Inwiefern würden Sie das denn als Bestrafung Gottes sehen?","If I put myself in your situation, then I can understand that you can't sleep and that you're not feeling well. I would like to go back to the first part of the sentence or paragraph. To what extent would you see this as a punishment from God?",3,4,3,3.333
