feature,n_dimensions,d1_illness_beliefs,d2_lack_of_knowledge,d3_cultural_factors,d4_family_system,d5_ambiguity_tolerance
time,4,0.006925112742934727,0.006433518985270577,0.007378204038057066,0.00055902577977578,0.007357960844451903
cause,3,0.007656375910048303,0.02821268219145908,0.0019102451837171778,0.003945528306725013,0.0001154975782028019
QMark,3,0.00030500559099209495,0.017528460876495344,0.004612340436948009,0.09653289129008095,0.03015407040005439
i,3,0.007221885692717879,0.017010714831854346,0.008267122318771173,0.0006293824770739091,-0.00018298511830340482
Social,2,-0.0003945607777393045,0.0006140106166396302,-0.0008498118394112533,0.006705896539289094,0.004504478034660574
Drives,2,-0.0007082794952576124,0.0014942976033833957,-0.004881087859334523,0.003980519964541729,0.009974737352456055
Period,2,0.009421800697336667,0.0010522757260770337,0.0046475430318389886,0.00467373660713035,0.0009050157716713021
allure,2,0.0034088378297301948,-0.0004261945325539783,0.015086504467216825,-0.0008453748490300841,0.005125845081265323
adj,2,0.008855184963969583,0.009278063071439418,0.002001336790738,0.0015602804114486103,-0.00010343815593613303
WC,2,-0.0006777546816794731,0.016486653986250495,0.0018219614708826922,0.009449190595349303,0.0010342526733410316
auxverb,2,0.001961297702356489,0.01337548481935559,0.008670312532772274,0.0001319234247420176,0.004185901770005967
discrep,2,0.0003918216605516804,0.009896524011420011,0.010934797949033131,0.00011440462699198184,-0.00017639807044735447
differ,2,0.011803316338950078,0.0007387953477411356,0.0011313712599676964,-0.00022245524867724463,0.00681259627456314
focuspresent,2,-0.0014388009503972122,0.003761212691550532,0.014060515832666548,0.00316832569488192,0.0022170673189400372
we,2,0.0022513672012967334,0.0031956230020642766,0.017275494362422143,0.0010603078734713837,0.010743437729578583
