id,dimension,rater_one,rater_two,rater_three,average_score,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
AU01.000846,d1_illness_beliefs,2,3,2,2.333,text,"Ich habe den Eindruck, sie haben noch einige Zweifel, was die Behandlung hier betrifft und trotzdem sind sie gekommen und wünschen sich, glaube ich, auch etwas. Also vielleicht können wir gemeinsam mal schauen, was wir hier gemeinsam besprechen müssen.",1,39,1,90.714,6.668,17.388,19.5,30.769,94.872,58.974,25.641,17.949,5.128,5.128,0,0,0,0,5.128,5.128,5.128,7.692,5.128,0,7.692,12.821,15.385,0,23.077,5.128,0,5.128,0,2.564,5.128,2.564,2.564,2.564,0,2.564,23.077,0,0,0,0,25.641,7.692,2.564,7.692,12.821,0,5.128,2.564,2.564,0,0,2.564,2.564,2.564,0,0,15.385,10.256,2.564,0,0,2.564,2.564,7.692,0,10.256,2.564,5.128,2.564,0,2.564,0,0,2.564,0,5.128,0,0,0,0,0,17.949,5.128,12.821,0,0,0,0,0,0,0,0,0,0
AU01.000847,d1_illness_beliefs,4,4,4,4.0,text,"Ja, ich verstehe, Sie merken, dass es da einen Zusammenhang geben könnte zwischen dem Kontaktabbruch mit Ihrer Familie und den Beschwerden, die Sie aufzählen. Was glauben Sie denn, wie das miteinander zusammenhängen könnte?",1,33,3.654,97.775,1,17.388,16.5,30.303,93.939,66.667,27.273,15.152,3.03,0,0,0,0,0,12.121,12.121,12.121,9.091,15.152,6.061,9.091,3.03,21.212,0,21.212,3.03,3.03,6.061,0,0,6.061,3.03,3.03,0,3.03,0,30.303,3.03,0,0,0,27.273,15.152,9.091,6.061,9.091,3.03,0,0,0,0,0,0,0,0,0,0,6.061,3.03,3.03,0,0,0,6.061,6.061,0,6.061,0,6.061,0,0,3.03,3.03,0,3.03,0,9.091,0,0,3.03,0,0,21.212,3.03,15.152,0,0,3.03,0,0,0,0,0,0,0
AU01.000848,d1_illness_beliefs,1,3,2,2.0,text,"Sie sagen, Ihre Flucht könnte eine Strafe Gottes sein oder die Symptome, die da entstanden sind. Wie meinen Sie das dann? Also was wäre dann die Strafe Gottes? Also wofür würde er Sie bestrafen?",1,34,1,86.064,1,1,8.5,8.824,100,70.588,26.471,20.588,2.941,0,0,0,0,0,17.647,17.647,11.765,2.941,14.706,0,14.706,5.882,17.647,0,20.588,5.882,5.882,8.824,0,0,11.765,2.941,8.824,0,8.824,0,20.588,0,0,0,2.941,29.412,2.941,14.706,8.824,11.765,0,2.941,2.941,0,2.941,0,2.941,2.941,0,0,0,14.706,0,5.882,5.882,0,2.941,2.941,2.941,0,5.882,2.941,2.941,0,0,0,0,0,5.882,0,2.941,0,0,0,0,0,17.647,2.941,5.882,0,0,8.824,0,0,0,0,0,0,0
AU01.000886,d1_illness_beliefs,2,2,2,2.0,text,"Ich verstehe, dass Zweifel aufkommen können, auch wenn das alles hier der Psychotherapie ganz neu ist. Aber die Psychotherapie ist auch dazu da, um ihnen zu zeigen und dass sie lernen, dass sie auch selbst Einfluss auf ihr Leben nehmen können und etwas verändern können.",1,45,1,85.081,2.65,1,22.5,15.556,97.778,62.222,17.778,11.111,2.222,0,2.222,0,2.222,0,8.889,6.667,8.889,4.444,6.667,6.667,4.444,6.667,28.889,0,17.778,4.444,0,0,0,6.667,2.222,0,2.222,2.222,0,2.222,17.778,0,0,0,0,26.667,4.444,6.667,6.667,8.889,2.222,4.444,2.222,2.222,0,0,6.667,0,2.222,0,0,8.889,0,6.667,0,0,2.222,0,6.667,0,15.556,0,11.111,4.444,6.667,0,0,0,0,0,2.222,0,0,0,0,0,13.333,4.444,8.889,0,0,0,0,0,0,0,0,0,0
AU01.000887,d1_illness_beliefs,2,2,2,2.0,text,"Ich verstehe, dass Sie sich gerade so fühlen, als würden Sie in der Situation feststecken und da nicht mehr rauskommen, aber die Psychotherapie hier ist eben ein Weg, um an den Panikattacken zu arbeiten und den Umgang damit zu verbessern und dann auch die Panikattacken zu verbessern.",1,47,71.076,47.787,99,17.388,47,21.277,95.745,65.957,8.511,8.511,2.128,0,0,0,0,0,4.255,4.255,4.255,0,12.766,17.021,6.383,6.383,25.532,2.128,14.894,6.383,4.255,0,0,2.128,8.511,4.255,4.255,4.255,0,0,10.638,0,0,0,0,21.277,4.255,2.128,4.255,2.128,2.128,6.383,2.128,0,0,2.128,2.128,0,0,0,0,6.383,0,6.383,0,0,0,0,10.638,0,31.915,4.255,19.149,10.638,8.511,0,0,0,0,0,4.255,0,0,0,0,0,10.638,2.128,8.511,0,0,0,0,0,0,0,0,0,0
AU01.000888,d1_illness_beliefs,2,2,2,2.0,text,"Ich kann gut verstehen, dass sie sich jetzt, ja, dass sie zweifeln und sich Schuld zuweisen. Es geht sehr vielen Menschen so wie ihnen in Situationen, die sehr schlimme Dinge erleben mussten und Entscheidungen treffen mussten, die auch sehr hart waren, dass man im Nachhinein, ja, sich die Schuld gibt und eine Erklärung dafür sucht.",1,55,4.903,96.48,1,1,27.5,23.636,90.909,61.818,16.364,12.727,1.818,0,0,0,0,0,5.455,3.636,5.455,3.636,7.273,5.455,9.091,9.091,16.364,0,14.545,9.091,1.818,1.818,0,7.273,7.273,1.818,5.455,3.636,0,1.818,25.455,0,0,0,0,18.182,5.455,1.818,5.455,1.818,3.636,0,1.818,0,0,1.818,0,0,0,0,0,5.455,0,3.636,0,0,0,5.455,9.091,0,7.273,1.818,1.818,3.636,0,0,0,3.636,0,0,7.273,0,0,3.636,0,0,18.182,3.636,14.545,0,0,0,0,0,0,0,0,0,0
AU01.000902,d1_illness_beliefs,2,2,2,2.0,text,"Ja, Sie haben recht. Ich muss das wissen. Und dadurch, dass Sie mir wichtig sind, möchte ich genau wissen, welche Symptome im Moment Sie haben. Und genau, um dementsprechend zu reagieren, wie Sie sich das von mir wünschen als Experte.",1,40,1,51.96,30.36,99,10,17.5,100,67.5,30,22.5,10,0,0,0,0,0,10,10,10,2.5,5,12.5,10,7.5,20,0,15,7.5,5,5,0,0,10,10,0,0,0,0,15,0,0,0,0,30,7.5,7.5,5,2.5,15,2.5,0,0,0,0,2.5,2.5,0,0,0,15,0,10,7.5,0,0,0,5,0,15,0,7.5,7.5,2.5,0,0,0,0,0,7.5,0,0,7.5,0,0,25,10,15,0,0,0,0,0,0,0,0,0,0
AU01.000905,d1_illness_beliefs,1,1,2,1.333,text,"Es hört sich alles sehr belastend an und das genau zu verstehen, meinen sie, also wenn sie sagen, das ist keine Zufall, dann was wäre dann? Der Schicksal?",1,28,1,87.111,1,1,14,10.714,100,75,35.714,14.286,3.571,0,0,0,0,0,7.143,7.143,7.143,14.286,10.714,7.143,7.143,7.143,21.429,3.571,14.286,0,0,3.571,0,10.714,10.714,3.571,7.143,0,0,7.143,28.571,0,0,0,0,28.571,7.143,3.571,7.143,10.714,7.143,3.571,7.143,0,7.143,0,3.571,0,0,0,0,0,0,0,0,0,0,0,3.571,3.571,7.143,0,7.143,0,0,0,0,0,3.571,0,10.714,0,0,3.571,0,0,21.429,0,14.286,0,0,7.143,0,0,0,0,0,0,0
AU01.000906,d1_illness_beliefs,1,2,2,1.667,text,"Ich verstehe Sie richtig, dass alleine sein viel schlimmer sich anfühlt, als mit jemandem zu sein, der sich nicht gut behandelt.",1,21,1,89.41,4.127,1,21,33.333,95.238,61.905,33.333,28.571,4.762,0,0,0,0,0,14.286,14.286,4.762,4.762,4.762,14.286,19.048,4.762,14.286,4.762,23.81,19.048,4.762,0,0,4.762,14.286,4.762,9.524,0,0,9.524,42.857,0,0,0,0,28.571,4.762,0,0,9.524,9.524,9.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,9.524,0,4.762,4.762,4.762,0,0,0,0,0,14.286,0,0,4.762,0,0,19.048,4.762,14.286,0,0,0,0,0,0,0,0,0,0
AU01.000967,d1_illness_beliefs,3,4,3,3.333,text,"Wenn ich mich in Ihre Situation hineinversetze, dann kann ich das gut verstehen, dass Sie nicht schlafen können und dass es Ihnen damit nicht gut geht. Ich würde gerne noch mal auf den ersten Teil des Satzes oder des Abschnitts zurückkommen. Inwiefern würden Sie das denn als Bestrafung Gottes sehen?",1,50,1,6.686,77.966,99,16.667,16,92,66,22,16,8,0,0,0,0,0,8,6,8,2,10,8,12,6,26,4,20,10,4,2,2,2,10,8,2,0,2,0,12,0,0,0,0,26,2,2,6,10,4,14,2,2,0,0,2,2,0,0,0,6,0,4,2,0,0,0,4,0,14,2,4,8,0,2,0,0,2,0,6,0,0,0,0,0,10,4,4,0,0,2,0,0,0,0,0,0,0
