language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d5_ambiguity_tolerance,43,memory,float64,0,0.0,2,0.9956,False,True,False,0.0,1.449,0.006383259911894273,0.0961735078508359
en,d5_ambiguity_tolerance,51,emo_anger,float64,0,0.0,5,0.9824,False,True,False,0.0,4.348,0.04341850220264317,0.35797835279815876
en,d5_ambiguity_tolerance,52,emo_sad,float64,0,0.0,2,0.9956,False,True,False,0.0,2.857,0.012585903083700441,0.189625750124112
en,d5_ambiguity_tolerance,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,57,polite,float64,0,0.0,3,0.9912,False,True,False,0.0,2.041,0.017149779735682817,0.18251949717029245
en,d5_ambiguity_tolerance,63,friend,float64,0,0.0,2,0.9956,False,True,False,0.0,3.704,0.01631718061674009,0.24584311461662953
en,d5_ambiguity_tolerance,65,male,float64,0,0.0,8,0.9692,False,True,False,0.0,16.667,0.13023788546255508,1.169157001263127
en,d5_ambiguity_tolerance,67,politic,float64,0,0.0,4,0.9868,False,True,False,0.0,4.762,0.04036563876651982,0.3762982639022552
en,d5_ambiguity_tolerance,69,tech,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,71,leisure,float64,0,0.0,8,0.9692,False,True,False,0.0,3.03,0.07534801762114537,0.42772407317405153
en,d5_ambiguity_tolerance,72,home,float64,0,0.0,5,0.9824,False,True,False,0.0,3.333,0.03441850220264318,0.27925576853115075
en,d5_ambiguity_tolerance,74,money,float64,0,0.0,7,0.9692,False,True,False,0.0,3.571,0.06000881057268723,0.36377452161592844
en,d5_ambiguity_tolerance,78,illness,float64,0,0.0,8,0.9692,False,True,False,0.0,6.25,0.1259647577092511,0.7640391204078147
en,d5_ambiguity_tolerance,79,wellness,float64,0,0.0,5,0.9824,False,True,False,0.0,12.5,0.128568281938326,1.1463755614278728
en,d5_ambiguity_tolerance,80,mental,float64,0,0.0,8,0.9692,False,True,False,0.0,6.667,0.12067400881057268,0.7443193240077678
en,d5_ambiguity_tolerance,81,substances,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,82,sexual,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,83,food,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,84,death,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,88,lack,float64,0,0.0,2,0.9956,False,True,False,0.0,6.452,0.028422907488986782,0.42823428064430186
en,d5_ambiguity_tolerance,89,fulfill,float64,0,0.0,8,0.9692,False,True,False,0.0,6.25,0.08722466960352424,0.566456527875519
en,d5_ambiguity_tolerance,90,fatigue,float64,0,0.0,2,0.9956,False,True,False,0.0,1.515,0.006674008810572687,0.10055408170739576
en,d5_ambiguity_tolerance,91,reward,float64,0,0.0,2,0.9956,False,True,False,0.0,3.333,0.014682819383259913,0.22121897975627064
en,d5_ambiguity_tolerance,107,netspeak,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,109,nonflu,float64,0,0.0,3,0.9912,False,True,False,0.0,2.222,0.01667400881057269,0.179935360525625
en,d5_ambiguity_tolerance,110,filler,float64,0,0.0,2,0.9956,False,True,False,0.0,3.333,0.014682819383259913,0.22121897975627067
en,d5_ambiguity_tolerance,115,Exclam,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,117,OtherP,float64,0,0.0,5,0.9824,False,True,False,0.0,7.692,0.05807929515418503,0.5593576300420212
en,d5_ambiguity_tolerance,118,Emoji,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
