id,dimension,variant_id,model,model_path,llm_score,raw_response,error,attempts,average_score,timestamp
AU01.000846,d1_illness_beliefs,V1_full_manual_baseline,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Der Therapeut erkennt die Zweifel des Patienten an, jedoch fehlt es an einer expliziten Aufforderung, das subjektive Erklärungsmodell oder die Heilungsvorstellungen des Patienten zu erfragen. Es wird keine Frage gestellt, die das Krankheits- oder Heilverständnis des Patienten direkt anspricht.""
}",,1,2.333,2026-07-18T12:30:55
AU01.000846,d1_illness_beliefs,V2_no_anchors,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Der Therapeut erkennt die Zweifel des Patienten an und versucht, eine gemeinsame Diskussion einzuleiten. Allerdings fehlt es an spezifischen Fragen zur subjektiven Krankheits- und Heilungsvorstellung des Patienten. Es werden keine Erklärungsmodelle exploriert oder validiert, und es gibt keine klare Definition der Rolle des Therapeuten oder der Erwartungen an die Therapie.""
}",,1,2.333,2026-07-18T12:30:55
AU01.000846,d1_illness_beliefs,V3_no_rationale,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,2,"{
  ""score"": 2
}",,1,2.333,2026-07-18T12:30:55
AU01.000846,d1_illness_beliefs,V4_evidence_before_score,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,1,"{
  ""brief_rationale"": ""Das Transkript zeigt eine Anfrage nach Zweifeln des Patienten an, jedoch fehlt es an spezifischen Fragen zur subjektiven Krankheits- und Heilungsvorstellung des Patienten. Es wird keine direkte Exploration des Erklärungsmodells oder der Heilvorstellungen des Patienten durchgeführt. Die Therapeutin drückt Verständnis für die Zweifel des Patienten aus, aber es fehlen explizite Fragen zur Krankheits- und Heilungsvorstellung, die die Zieldimension erfüllen würden."",
  ""score"": 1
}",,1,2.333,2026-07-18T12:30:55
AU01.000846,d1_illness_beliefs,V5_structured_checklist,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Therapeutin erkennt die Zweifel des Patienten an und versucht, eine gemeinsame Diskussion einzuleiten. Allerdings fehlt es an spezifischen Fragen, die das subjektive Erklärungsmodell oder die Heilungsvorstellungen des Patienten explizit erfragen würden. Die Reaktion ist daher mangelhaft, da sie nicht die Dimension der subjektiven Krankheits- und Heilungsvorstellungen ausreichend erfasst.""
}",,1,2.333,2026-07-18T12:30:55
AU01.000846,d1_illness_beliefs,V6_minimal_natural,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,0,"{
  ""score"": 0,
  ""brief_rationale"": ""Die Therapeutin drückt zwar eine Vermutung aus, dass der Patient Zweifel hat und trotzdem hier ist, aber sie fragt nicht explizit nach der subjektiven Krankheits- und Heilungsvorstellung des Patienten. Es fehlt eine direkte Aufforderung oder Frage, die das eigentliche Verständnis der Problematik des Patienten erfragen würde.""
}",,1,2.333,2026-07-18T12:30:55
AU01.000847,d1_illness_beliefs,V1_full_manual_baseline,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,4,"{
  ""score"": 4,
  ""brief_rationale"": ""Die Therapeutin erkundigt sich nach dem Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten. Sie validiert die subjektive Sichtweise des Patienten und fragt nach dessen Erklärungsmodell und Heilvorstellungen. Dies entspricht den Bewertungskriterien und Ankerbeispielen für eine Bewertung von 4.""
}",,1,4.0,2026-07-18T12:30:55
AU01.000847,d1_illness_beliefs,V2_no_anchors,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Therapeut fragt nach einer möglichen Verbindung zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten. Dies entspricht dem Kriterium, das das subjektive Erklärungsmodell des Patienten zu erforschen. Allerdings fehlen weitere Fragen zur Erklärung der Probleme oder zur Heilungsvorstellung, um eine höhere Bewertung zu rechtfertigen.""
}",,1,4.0,2026-07-18T12:30:55
AU01.000847,d1_illness_beliefs,V3_no_rationale,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,4,"{
  ""score"": 4
}",,1,4.0,2026-07-18T12:30:55
AU01.000847,d1_illness_beliefs,V4_evidence_before_score,qwen2_5_14b_instruct,/home/woody/iwso/iwso237h/models/qwen2_5_14b_instruct,4,"{
  ""brief_rationale"": ""Der Therapeut erkundigt sich nach dem Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten. Dies zeigt, dass der Therapeut das subjektive Erklärungsmodell des Patienten exploriert und dessen Sichtweise validiert. Die Frage ist direkt und verständlich formuliert und passt den therapeutischen Stil flexibel an, um das Krankheitsverständnis des Patienten zu erforschen."",
  ""score"": 4
}",,1,4.0,2026-07-18T12:30:55
