id,dimension,variant_id,model,llm_score,raw_response,error,attempts,average_score,timestamp
AU01.000846,d1_illness_beliefs,V1_full_manual_baseline,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Therapeutin erkennt den Wunsch der Patientin, sich zu verbessern und zeigt Bereitschaft, gemeinsam an der Behandlung zu arbeiten. Es wird jedoch keine direkte Erkundung der Erklärungsmodelle der Patientin oder ihrer Heilungsvorstellungen vorgenommen, noch werden ihre Ansichten validiert oder ihr Verständnis gefördert.""
}",,1,2.333,2026-07-16T19:12:54
AU01.000846,d1_illness_beliefs,V2_no_anchors,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Therapeutin erkennt die Zweifel des Patienten an der Behandlung an und bietet an, gemeinsam zu besprechen, was sie gemeinsam besprechen möchten. Dies zeigt eine Bereitschaft, die Sichtweise des Patienten zu erkunden. Es wird jedoch keine direkte Erkundung des Erklärungsmodells oder der Heilungsvorstellungen des Patienten vorgenommen, noch werden spezifische Fragen zu diesen Themen gestellt.""
}",,1,2.333,2026-07-16T19:12:54
AU01.000846,d1_illness_beliefs,V3_no_rationale,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0
}",,1,2.333,2026-07-16T19:12:55
AU01.000846,d1_illness_beliefs,V4_evidence_before_score,Microsoft/Phi-4-mini-instruct,2,"{
  ""brief_rationale"": ""Der Therapeut erkennt die möglichen Zweifel des Patienten bezüglich der Behandlung, zeigt Verständnis und bietet an, gemeinsam zu besprechen, was besprochen werden soll. Es gibt jedoch keine explizite Erkundung des subjektiven Erklärungsmodells des Patienten, seiner Heilungsvorstellungen oder einer Validierung seiner Sichtweise. Die Reaktion ist unterstützend, aber die Aufgabenstellung wird nur teilweise erfüllt."",
  ""score"": 2
}",,1,2.333,2026-07-16T19:12:55
AU01.000846,d1_illness_beliefs,V5_structured_checklist,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Reaktion erkennt die Zweifel der Patientin an und schlägt vor, gemeinsam zu besprechen, was in der Behandlung besprochen werden soll. Dies zeigt eine Bereitschaft, die Perspektive der Patientin zu berücksichtigen, erfüllt jedoch nicht vollständig die Kriterien, da das Erklärungsmodell der Patientin nicht zusammengefasst, ihre Heilungsvorstellungen nicht explizit erkundet oder ihre Erwartungen an die Therapie klar definiert wird.""
}",,1,2.333,2026-07-16T19:12:56
AU01.000846,d1_illness_beliefs,V6_minimal_natural,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Therapeut erkennt die Unsicherheit des Patienten bezüglich der Behandlung, aber es gibt keine direkte Erkundung der subjektiven Krankheits- und Heilungsvorstellungen des Patienten. Der Therapeut schlägt vor, gemeinsam über die Behandlung zu sprechen, was eine erste Schritte zur Erkundung dieser Vorstellungen andeutet.""
}",,1,2.333,2026-07-16T19:12:56
AU01.000847,d1_illness_beliefs,V1_full_manual_baseline,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Therapeutin erkennt einen möglichen Zusammenhang zwischen dem Kontaktabbruch und den Beschwerden des Patienten an und fragt nach der Patientensicht. Dies erfüllt die Aufgabenstellung, erkundet jedoch nicht vollständig das Erklärungsmodell des Patienten oder validiert dessen Sichtweise.""
}",,1,4.0,2026-07-16T19:12:56
AU01.000847,d1_illness_beliefs,V2_no_anchors,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Therapeutin erkundet die potenzielle Verbindung zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten, was die Erkundung des Erklärungsmodells des Patienten unterstützt. Sie fordert jedoch nicht explizit den Patienten auf, sein Erklärungsmodell zu artikulieren oder seine Heilungsvorstellungen zu teilen, was eine weitere Erkundung dieser Aspekte ermöglichen würde.""
}",,1,4.0,2026-07-16T19:12:57
AU01.000847,d1_illness_beliefs,V3_no_rationale,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2
}",,1,4.0,2026-07-16T19:12:57
AU01.000847,d1_illness_beliefs,V4_evidence_before_score,Microsoft/Phi-4-mini-instruct,2,"{
  ""brief_rationale"": ""Der Therapeut erkennt einen möglichen Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten, fragt jedoch den Patienten, wie er diesen Zusammenhang selbst sieht. Der Therapeut lässt den Patienten seine Erklärungsmodelle formulieren, ohne diese selbst zu validieren oder zu interpretieren."",
  ""score"": 2
}",,1,4.0,2026-07-16T19:12:58
AU01.000847,d1_illness_beliefs,V5_structured_checklist,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Die Reaktion erkundet den möglichen Zusammenhang zwischen dem Kontaktabbruch mit der Familie und den Beschwerden des Patienten, was die Erkundung des Erklärungsmodells des Patienten erfüllt. Die Reaktion geht jedoch nicht weiter, um das Erklärungsmodell des Patienten zu validieren oder die Heilungsvorstellungen des Patienten zu erkunden. Sie stellt auch keine Fragen zu den Heilungsvorstellungen des Patienten oder zu den Erwartungen an die Therapie.""
}",,1,4.0,2026-07-16T19:12:58
AU01.000847,d1_illness_beliefs,V6_minimal_natural,Microsoft/Phi-4-mini-instruct,4,"{
  ""score"": 4,
  ""brief_rationale"": ""Die Patientin wird nach ihren eigenen Erklärungen gefragt, wie sie glaubt, dass der Kontaktabbruch mit der Familie mit ihren Beschwerden zusammenhängt, was eine tiefgehende Erkundung ihrer subjektiven Krankheits- und Heilungsvorstellungen ist.""
}",,1,4.0,2026-07-16T19:12:59
AU01.000848,d1_illness_beliefs,V1_full_manual_baseline,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0,
  ""brief_rationale"": ""Die Antwort konzentriert sich darauf, die Patient:innen zu fragen, was ihre Strafe wäre, was ihre Vorstellungen über die Ursache ihrer Symptome nicht erfasst. Es gibt keine Exploration des Erklärungsmodells der Patient:innen oder Validierung ihrer Sichtweise.""
}",,1,2.0,2026-07-16T19:12:59
AU01.000848,d1_illness_beliefs,V2_no_anchors,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0,
  ""brief_rationale"": ""Das therapeutische Eingreifen konzentrierte sich nicht darauf, das Erklärungsmodell der Patientin zu erfassen oder zu validieren. Stattdessen wurde eine Frage gestellt, die das Modell weiter verwirrte. Es gab keine Erkundung der Patientin’s eigenen Erklärungen, keine Validierung ihrer Sichtweise oder keine Klärung ihrer Heilungsvorstellungen. Die Rolle des Therapeuten wurde nicht definiert, und es wurden keine Vorbehalte oder Bedenken der Patientin angesprochen.""
}",,1,2.0,2026-07-16T19:13:00
AU01.000848,d1_illness_beliefs,V3_no_rationale,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0
}",,1,2.0,2026-07-16T19:13:00
AU01.000848,d1_illness_beliefs,V4_evidence_before_score,Microsoft/Phi-4-mini-instruct,3,"{
  ""brief_rationale"": ""Die Antwort des Therapeuten zielt darauf ab, die Heilungsvorstellung des Patienten zu erkunden, indem sie nach der Bedeutung hinter der Flucht und den Symptomen fragt. Dies zeigt eine Bereitschaft, das Erklärungsmodell des Patienten zu validieren, ohne es direkt zu bestätigen oder zu widerlegen, was eine angemessene Herangehensweise für die Dimension ist."",
  ""score"": 3
}",,1,2.0,2026-07-16T19:13:00
AU01.000848,d1_illness_beliefs,V5_structured_checklist,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0,
  ""brief_rationale"": ""Die Reaktion identifiziert die Vorhandensein eines Erklärungsmodells (Strafe Gottes) des Patienten, jedoch ohne dessen Erkundung oder Validierung. Es gibt keine Einladung an den Patienten, mehr über sein Modell zu teilen, und es gibt auch keine Anpassung des therapeutischen Stils an das Modell des Patienten. Die Reaktion scheint die Sichtweise des Patienten nicht zu validieren und geht nicht auf die Heilungsvorstellungen des Patienten ein.""
}",,1,2.0,2026-07-16T19:13:01
AU01.000848,d1_illness_beliefs,V6_minimal_natural,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0,
  ""brief_rationale"": ""Das Transkript zeigt keine Erkundung der Patient:innen subjektiven Krankheits- und Heilungsvorstellungen. Stattdessen wird eine Frage gestellt, die die Patient:innen dazu auffordert, ihre Interpretation einer möglichen Strafe Gottes zu diskutieren, was nicht mit der Aufgabenstellung übereinstimmt, die eine Erkundung ihrer eigenen Vorstellungen erfordert.""
}",,1,2.0,2026-07-16T19:13:01
AU01.000886,d1_illness_beliefs,V1_full_manual_baseline,Microsoft/Phi-4-mini-instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Reaktion erkennt die Möglichkeit von Zweifeln an und bietet eine allgemeine Erklärung dafür, dass Psychotherapie helfen kann, aber sie geht nicht auf die Erkundung oder Validierung spezifischer Krankheits- oder Heilungsvorstellungen der Patient:innen ein.""
}",,1,2.0,2026-07-16T19:13:02
AU01.000886,d1_illness_beliefs,V2_no_anchors,Microsoft/Phi-4-mini-instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Reaktion erkennt die Möglichkeit von Zweifeln an und bietet eine allgemeine Erklärung der Ziele der Psychotherapie, ohne jedoch spezifisch die Erklärungsmodelle oder Heilvorstellungen der Patient:innen zu erforschen.""
}",,1,2.0,2026-07-16T19:13:02
AU01.000886,d1_illness_beliefs,V3_no_rationale,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0
}",,1,2.0,2026-07-16T19:13:02
AU01.000886,d1_illness_beliefs,V4_evidence_before_score,Microsoft/Phi-4-mini-instruct,1,"{
  ""brief_rationale"": ""Der Therapeut erkennt die Zweifel des Patienten an der Psychotherapie an und erklärt, dass Psychotherapie darauf abzielt, den Patienten zu zeigen, dass sie Einfluss auf ihr Leben nehmen und etwas verändern können. Es gibt jedoch keine direkte Erkundung des subjektiven Erklärungsmodells des Patienten für ihre Probleme oder ihrer Heilungsvorstellungen. Es gibt auch keine direkte Frage an den Patienten, wie er seine Beschwerden erklärt, was er für die Lösung hält oder was er von der Therapie erwartet."",
  ""score"": 1
}",,1,2.0,2026-07-16T19:13:03
AU01.000886,d1_illness_beliefs,V5_structured_checklist,Microsoft/Phi-4-mini-instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Reaktion erkennt die Zweifel des Patienten an und erwähnt, dass die Psychotherapie darauf abzielen kann, dem Patienten zu zeigen, dass sie Einfluss auf ihr Leben nehmen können. Dies validiert jedoch nicht explizit das Erklärungsmodell des Patienten oder seine Heilungsvorstellungen.""
}",,1,2.0,2026-07-16T19:13:03
AU01.000886,d1_illness_beliefs,V6_minimal_natural,Microsoft/Phi-4-mini-instruct,2,"{
  ""score"": 2,
  ""brief_rationale"": ""Der Therapeut erkennt die Möglichkeit von Zweifeln an und betont die Rolle der Psychotherapie bei der Selbstwirksamkeit und Veränderung, aber erfasst nicht explizit, wie die Patient:innen ihre Probleme selbst erklären.""
}",,1,2.0,2026-07-16T19:13:04
AU01.000887,d1_illness_beliefs,V1_full_manual_baseline,Microsoft/Phi-4-mini-instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Reaktion erkennt die schwierige Situation der Patient:innen an, aber sie geht nicht darauf ein, wie die Patient:innen ihre Probleme selbst erklären oder ihre Heilungsvorstellungen erkunden. Es gibt keine Exploration des Erklärungsmodells der Patient:innen oder Validierung ihrer Sichtweise.""
}",,1,2.0,2026-07-16T19:13:04
AU01.000887,d1_illness_beliefs,V2_no_anchors,Microsoft/Phi-4-mini-instruct,1,"{
  ""score"": 1,
  ""brief_rationale"": ""Die Reaktion erkennt die Situation der Patient:innen an und erklärt die therapeutische Absicht, jedoch werden keine expliziten Erklärungsmodelle der Patient:innen abgefragt, noch werden Heilvorstellungen oder Erwartungen an die Therapie erfragt. Es gibt keine Validierung des Erklärungsmodells der Patient:innen oder eine Definition der Rolle als Therapeut.""
}",,1,2.0,2026-07-16T19:13:05
AU01.000887,d1_illness_beliefs,V3_no_rationale,Microsoft/Phi-4-mini-instruct,0,"{
  ""score"": 0
}",,1,2.0,2026-07-16T19:13:05
AU01.000887,d1_illness_beliefs,V4_evidence_before_score,Microsoft/Phi-4-mini-instruct,2,"{
  ""brief_rationale"": ""Der Therapeut erkennt die schwierige Situation des Patienten an und erklärt die Funktion der Psychotherapie, ohne jedoch das Erklärungsmodell des Patienten zu erforschen oder zu validieren. Es wird keine Frage nach den Heilvorstellungen des Patienten gestellt, und es wird keine Klarstellung der Erwartungen an die Therapie oder die Rolle des Therapeuten gegeben."",
  ""score"": 2
}",,1,2.0,2026-07-16T19:13:05
