language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d5_ambiguity_tolerance,1,WC,int64,0,0.0,79,0.0441,False,False,False,6.0,172.0,42.72246696035242,25.332786428331588
en,d5_ambiguity_tolerance,2,Analytic,float64,0,0.0,133,0.1938,False,False,False,1.0,95.227,15.033422907488985,18.203688618164275
en,d5_ambiguity_tolerance,3,Clout,float64,0,0.0,91,0.4537,False,False,False,1.706,99.0,86.77207929515416,21.407823441398925
en,d5_ambiguity_tolerance,4,Authentic,float64,0,0.0,122,0.1101,False,False,False,1.0,99.0,37.199281938325996,33.229439975677444
en,d5_ambiguity_tolerance,5,Tone,float64,45,0.1982,80,0.1982,False,False,False,1.0,99.0,58.35154945054945,37.105246149391505
en,d5_ambiguity_tolerance,6,WPS,float64,0,0.0,109,0.0308,False,False,False,5.5,104.0,18.414431718061675,10.854300951654048
en,d5_ambiguity_tolerance,7,BigWords,float64,0,0.0,139,0.0617,False,False,False,0.0,37.5,15.170299559471365,6.125290920174299
en,d5_ambiguity_tolerance,8,Dic,float64,0,0.0,96,0.2291,False,False,False,80.0,100.0,95.46988105726872,3.66716348257259
en,d5_ambiguity_tolerance,9,Linguistic,float64,0,0.0,130,0.0396,False,False,False,56.667,97.059,80.68462555066081,5.783829262209295
en,d5_ambiguity_tolerance,10,function,float64,0,0.0,121,0.0837,False,False,False,52.778,82.927,67.535718061674,5.020991598974571
en,d5_ambiguity_tolerance,11,pronoun,float64,0,0.0,125,0.0441,False,False,False,12.121,41.176,24.99590308370044,6.047242167407689
en,d5_ambiguity_tolerance,12,ppron,float64,0,0.0,121,0.0661,False,False,False,2.857,29.167,14.493162995594716,4.8207696898439805
en,d5_ambiguity_tolerance,13,i,float64,0,0.0,87,0.3877,False,False,False,0.0,12.5,2.5698546255506605,2.752091111795232
en,d5_ambiguity_tolerance,14,we,float64,0,0.0,32,0.8414,False,False,False,0.0,22.222,0.6924581497797357,2.3613088431814306
en,d5_ambiguity_tolerance,15,you,float64,0,0.0,113,0.1674,False,False,False,0.0,22.222,8.129180616740088,5.732224891837033
en,d5_ambiguity_tolerance,16,shehe,float64,0,0.0,24,0.8855,False,False,False,0.0,12.5,0.44015859030837,1.5423321559127934
en,d5_ambiguity_tolerance,17,they,float64,0,0.0,75,0.5903,False,False,False,0.0,19.048,2.3405814977973565,3.7902927078006257
en,d5_ambiguity_tolerance,18,ipron,float64,0,0.0,124,0.0396,False,False,False,0.0,25.0,10.502731277533039,4.964713361690874
en,d5_ambiguity_tolerance,19,det,float64,0,0.0,124,0.0485,False,False,False,0.0,34.615,15.131577092511012,5.444915928311068
en,d5_ambiguity_tolerance,20,article,float64,0,0.0,111,0.2026,False,False,False,0.0,16.667,4.395550660792952,3.484952231213228
en,d5_ambiguity_tolerance,21,number,float64,0,0.0,17,0.9119,False,False,False,0.0,4.762,0.21256387665198237,0.7972836012443901
en,d5_ambiguity_tolerance,22,prep,float64,0,0.0,121,0.0573,False,False,False,0.0,33.333,12.946493392070487,4.670068892795022
en,d5_ambiguity_tolerance,23,auxverb,float64,0,0.0,112,0.0396,False,False,False,0.0,21.429,11.709334801762113,3.8761562183437235
en,d5_ambiguity_tolerance,24,adverb,float64,0,0.0,121,0.0529,False,False,False,0.0,26.667,9.278872246696036,5.059718987831169
en,d5_ambiguity_tolerance,25,conj,float64,0,0.0,106,0.1586,False,False,False,0.0,20.0,6.347370044052863,4.328182082213939
en,d5_ambiguity_tolerance,26,negate,float64,0,0.0,43,0.7709,False,False,False,0.0,8.333,0.6427665198237886,1.3723123767586924
en,d5_ambiguity_tolerance,27,verb,float64,0,0.0,128,0.0396,False,False,False,5.0,36.842,20.165330396475774,5.546379395534055
en,d5_ambiguity_tolerance,28,adj,float64,0,0.0,102,0.141,False,False,False,0.0,17.857,5.743004405286344,3.690504352535938
en,d5_ambiguity_tolerance,29,quantity,float64,0,0.0,79,0.4273,False,False,False,0.0,14.286,2.3070352422907496,2.6701413652196226
en,d5_ambiguity_tolerance,30,Drives,float64,0,0.0,106,0.2863,False,False,False,0.0,22.222,4.64063436123348,4.68142494788797
en,d5_ambiguity_tolerance,31,affiliation,float64,0,0.0,85,0.4626,False,False,False,0.0,22.222,2.7258942731277536,3.5187277137177926
en,d5_ambiguity_tolerance,32,achieve,float64,0,0.0,48,0.7533,False,False,False,0.0,14.286,0.8720220264317181,2.0503029097273853
en,d5_ambiguity_tolerance,33,power,float64,0,0.0,47,0.7004,False,False,False,0.0,11.765,1.0475859030837005,2.0030860958558465
en,d5_ambiguity_tolerance,34,Cognition,float64,0,0.0,149,0.0396,False,False,False,6.25,56.25,26.659008810572683,8.451027138699596
en,d5_ambiguity_tolerance,35,allnone,float64,0,0.0,51,0.696,False,False,False,0.0,6.667,0.8750969162995594,1.5230613469824072
en,d5_ambiguity_tolerance,36,cogproc,float64,0,0.0,133,0.0617,False,False,False,0.0,46.875,18.450330396475767,7.709544066216836
en,d5_ambiguity_tolerance,37,insight,float64,0,0.0,104,0.1189,False,False,False,0.0,20.0,6.324515418502203,4.627003876196392
en,d5_ambiguity_tolerance,38,cause,float64,0,0.0,84,0.4714,False,False,False,0.0,27.273,2.685030837004405,4.19025188947812
en,d5_ambiguity_tolerance,39,discrep,float64,0,0.0,98,0.2423,False,False,False,0.0,14.286,4.021008810572687,3.409436930896763
en,d5_ambiguity_tolerance,40,tentat,float64,0,0.0,89,0.3921,False,False,False,0.0,15.625,2.7354449339207045,3.0839391257361655
en,d5_ambiguity_tolerance,41,certitude,float64,0,0.0,63,0.6079,False,False,False,0.0,11.111,1.4239251101321586,2.16594694871139
en,d5_ambiguity_tolerance,42,differ,float64,0,0.0,91,0.3612,False,False,False,0.0,15.625,3.049718061674009,3.1871732002912285
en,d5_ambiguity_tolerance,43,memory,float64,0,0.0,2,0.9956,False,True,False,0.0,1.449,0.006383259911894273,0.0961735078508359
en,d5_ambiguity_tolerance,44,Affect,float64,0,0.0,105,0.1982,False,False,False,0.0,26.667,5.11401321585903,4.2446191981133845
en,d5_ambiguity_tolerance,45,tone_pos,float64,0,0.0,93,0.3216,False,False,False,0.0,20.0,3.6271189427312773,3.8098178734885555
en,d5_ambiguity_tolerance,46,tone_neg,float64,0,0.0,65,0.5991,False,False,False,0.0,11.765,1.3352114537444932,2.166399606714889
en,d5_ambiguity_tolerance,47,emotion,float64,0,0.0,70,0.5815,False,False,False,0.0,13.333,1.781409691629956,2.7667109517804924
en,d5_ambiguity_tolerance,48,emo_pos,float64,0,0.0,52,0.7533,False,False,False,0.0,13.333,1.1733039647577095,2.5407201770002277
en,d5_ambiguity_tolerance,49,emo_neg,float64,0,0.0,27,0.8458,False,False,False,0.0,8.824,0.42020704845814977,1.216773346722894
en,d5_ambiguity_tolerance,50,emo_anx,float64,0,0.0,20,0.9119,False,False,False,0.0,8.824,0.26904845814977973,1.088265695179782
en,d5_ambiguity_tolerance,51,emo_anger,float64,0,0.0,5,0.9824,False,True,False,0.0,4.348,0.04341850220264317,0.35797835279815876
en,d5_ambiguity_tolerance,52,emo_sad,float64,0,0.0,2,0.9956,False,True,False,0.0,2.857,0.012585903083700441,0.189625750124112
en,d5_ambiguity_tolerance,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d5_ambiguity_tolerance,54,Social,float64,0,0.0,139,0.0352,False,False,False,4.167,46.154,18.408541850220267,7.042456375929434
en,d5_ambiguity_tolerance,55,socbehav,float64,0,0.0,94,0.2423,False,False,False,0.0,17.647,3.6152643171806167,3.3983243073563316
en,d5_ambiguity_tolerance,56,prosocial,float64,0,0.0,36,0.8018,False,False,False,0.0,9.375,0.6870088105726874,1.6328780660793667
en,d5_ambiguity_tolerance,57,polite,float64,0,0.0,3,0.9912,False,True,False,0.0,2.041,0.017149779735682817,0.18251949717029245
en,d5_ambiguity_tolerance,58,conflict,float64,0,0.0,15,0.9339,False,False,False,0.0,6.25,0.170352422907489,0.7600063163633871
en,d5_ambiguity_tolerance,59,moral,float64,0,0.0,33,0.8414,False,False,False,0.0,11.765,0.5643964757709251,1.6025215395086878
en,d5_ambiguity_tolerance,60,comm,float64,0,0.0,67,0.4934,False,False,False,0.0,14.286,1.8106431718061675,2.354355694227639
en,d5_ambiguity_tolerance,61,socrefs,float64,0,0.0,135,0.0396,False,False,False,2.857,33.333,14.513907488986785,5.914248554163952
