id,dimension,variant_id,model,model_path,llm_score,raw_response,error,attempts,average_score,timestamp
AU01.000846,d1_illness_beliefs,V1_full_manual_baseline,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 5,
  ""brief_rationale"": ""...""
}
{
  ""score"": 6,
  ""brief_rationale"": ""...""
}
{
  ""score"": 7,
  ""brief_rationale"": ""...""
}
{
  ""score"": 8,
  ""brief_rationale"": ""...""
}
{
  ""score"": 9,
  ""brief_rationale"": ""...""
}
{
  ""score"": 10,
  ""brief_rationale"": ""...""
}
{
  ""score"": 11,
  ""brief_rationale"": ""...""
}
{
  ""score"": 12,
  ""brief_rationale"": ""...""
}
{
  ""score"": 13,
  ""brief_rationale"": ""...""
}
{
  ""score"": 14,
  ""brief_rationale"": ""...""
}
{
  ""score"": 15,
  ""brief_rationale"": ""...""
}
{
  ""score"": 16,
  ""brief_rationale"": ""...""
}
{
  ""score"": 17,
  ""brief_rationale"": ""...""
}
{
  ""score"": 18,
  ""brief_rationale"": ""...""
}
{
  ""score"": 19,
  ""brief_rationale"": ""...""
}
{
  ""score"": 20,
  ""brief_rationale"": ""...""
}
{
  ""score"": 21,
  ""brief_rationale"": ""...""
}
{
  ""score"": 22,
  ""brief_rationale"": ""...""
}
{
  ""score"": 23,
  ""brief_rationale"": ""...""
}
{
  ""score"": 24,
  ""brief_rationale"": ""...""
}
{
  ""score"": 25,
  ""brief_rationale"": ""...""
}
{
  ""score"": 26,
  ""brief_rationale"": ""...""
}
{
  ""score"": 27,
  ""brief_rationale"": ""...""
}
{
  ""score"": 28,
  ""brief_rationale"": ""...""
}
{
  ""score"": 29,
  ""brief_rationale"": ""...""
}
{
  ""score"": 30,
  ""brief_rationale"": ""...""
}
{
  ""score"": 31,
  ""brief_rationale"": ""...""
}
{
  ""score"": 32,
  ""brief_rationale"": ""...""
}
{
  ""score"": 33,
  ""brief_rationale"": ""...""
}
{
  ""score"": 34,
  ""brief_rationale"": ""...""
}
{
  ""score"": 35,
  ""brief_rationale"": ""...""
}
{
  ""score"": 36,
  ""brief_rationale"": ""...""
}
{
  ""score"": 37,
  ""brief_rationale"": ""...""
}
{
  ""score"": 38,
  ""brief_rationale"": ""...""
}
{
  ""score"": 39,
  ""brief_rationale"": ""...""
}
{
  ""score"": 40,
  ""brief_rationale"": ""...""
}
{
  ""score"": 41,
  ""brief_rationale"": ""...""
}
{
  ""score"": 42,
  ""brief_rationale"": ""...""
}
{
  ""score"": 43,
  ""brief_rationale"": ""...""
}
{
  ""score"": 44,
  ""brief_rationale"": ""...""
}
{
  ""score"": 45,
  """,JSON parse error: response did not contain a valid JSON object,1,2.333,2026-07-15T11:45:36
AU01.000846,d1_illness_beliefs,V2_no_anchors,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  """,JSON parse error: response did not contain a valid JSON object,1,2.333,2026-07-15T11:45:49
AU01.000846,d1_illness_beliefs,V3_no_rationale,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 1
}
{
  ""score"": 2
}
{
  ""score"": 3
}
{
  ""score"": 4
}
{
  ""score"": 5
}
{
  ""score"": 6
}
{
  ""score"": 7
}
{
  ""score"": 8
}
{
  ""score"": 9
}
{
  ""score"": 10
}
{
  ""score"": 11
}
{
  ""score"": 12
}
{
  ""score"": 13
}
{
  ""score"": 14
}
{
  ""score"": 15
}
{
  ""score"": 16
}
{
  ""score"": 17
}
{
  ""score"": 18
}
{
  ""score"": 19
}
{
  ""score"": 20
}
{
  ""score"": 21
}
{
  ""score"": 22
}
{
  ""score"": 23
}
{
  ""score"": 24
}
{
  ""score"": 25
}
{
  ""score"": 26
}
{
  ""score"": 27
}
{
  ""score"": 28
}
{
  ""score"": 29
}
{
  ""score"": 30
}
{
  ""score"": 31
}
{
  ""score"": 32
}
{
  ""score"": 33
}
{
  ""score"": 34
}
{
  ""score"": 35
}
{
  ""score"": 36
}
{
  ""score"": 37
}
{
  ""score"": 38
}
{
  ""score"": 39
}
{
  ""score"": 40
}
{
  ""score"": 41
}
{
  ""score"": 42
}
{
  ""score"": 43
}
{
  ""score"": 44
}
{
  ""score"": 45
}
{
  ""score"": 46
}
{
  ""score"": 47
}
{
  ""score"": 48
}
{
  ""score"": 49
}
{
  ""score"": 50
}
{
  ""score"": 51
}
{
  ""score"": 52
}
{
  ""score"": 53
}
{
  ""score"": 54
}
{
  ""score"": 55
}
{
  ""score"": 56
}
{
  ""score"": 57
}
{
  ""score"": 58
}
{
  ""score"": 59
}
{
  ""score"": 60
}
{
  ""score"": 61
}
{
  ""score"": 62
}
{
  ""score"": 63
}
{
  ""score"": 64
}
{
  ""score"": 65
}
{
  ""score"": 66
}
{
  ""score"": 67
}
{
  ""score"": 68
}
{
  ""score"": 69
}
{
  ""score"": 70
}
{
  ""score"": 71
}
{
  ""score"": 72
}
{
  ""score"": 73
}
{
  ""score"": 74
}
{
  ""score"": 75
}
{
  ""score"": 76
}
{
  ""score"": 77
}
{
  ""score"": 78
}
{
  ""score"": 79
}
{
  ""score"": 80
}
{
  ""score"": 81
}
{
  ""score"": 82
}
{
  ""score"": 83
}
{
  ""score"": 84
}
{
  ""score"": 85
}
{
  ""score"": 86
}
{
  ""score"": 87
}
{
  ""score"": 88
}
{
  ""score"": 89
}
{
  ""score"": 90
}
{
  ""score"": 91
}
{
  ""score"": 92
}
{
  ""score"": 93
}
{",JSON parse error: response did not contain a valid JSON object,1,2.333,2026-07-15T11:46:02
AU01.000846,d1_illness_beliefs,V4_evidence_before_score,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""brief_rationale"": ""..."",
  ""score"": 1
}
{
  ""brief_rationale"": ""..."",
  ""score"": 2
}
{
  ""brief_rationale"": ""..."",
  ""score"": 3
}
{
  ""brief_rationale"": ""..."",
  ""score"": 4
}
{
  ""brief_rationale"": ""..."",
  ""score"": 5
}
{
  ""brief_rationale"": ""..."",
  ""score"": 6
}
{
  ""brief_rationale"": ""..."",
  ""score"": 7
}
{
  ""brief_rationale"": ""..."",
  ""score"": 8
}
{
  ""brief_rationale"": ""..."",
  ""score"": 9
}
{
  ""brief_rationale"": ""..."",
  ""score"": 10
}
{
  ""brief_rationale"": ""..."",
  ""score"": 11
}
{
  ""brief_rationale"": ""..."",
  ""score"": 12
}
{
  ""brief_rationale"": ""..."",
  ""score"": 13
}
{
  ""brief_rationale"": ""..."",
  ""score"": 14
}
{
  ""brief_rationale"": ""..."",
  ""score"": 15
}
{
  ""brief_rationale"": ""..."",
  ""score"": 16
}
{
  ""brief_rationale"": ""..."",
  ""score"": 17
}
{
  ""brief_rationale"": ""..."",
  ""score"": 18
}
{
  ""brief_rationale"": ""..."",
  ""score"": 19
}
{
  ""brief_rationale"": ""..."",
  ""score"": 20
}
{
  ""brief_rationale"": ""..."",
  ""score"": 21
}
{
  ""brief_rationale"": ""..."",
  ""score"": 22
}
{
  ""brief_rationale"": ""..."",
  ""score"": 23
}
{
  ""brief_rationale"": ""..."",
  ""score"": 24
}
{
  ""brief_rationale"": ""..."",
  ""score"": 25
}
{
  ""brief_rationale"": ""..."",
  ""score"": 26
}
{
  ""brief_rationale"": ""..."",
  ""score"": 27
}
{
  ""brief_rationale"": ""..."",
  ""score"": 28
}
{
  ""brief_rationale"": ""..."",
  ""score"": 29
}
{
  ""brief_rationale"": ""..."",
  ""score"": 30
}
{
  ""brief_rationale"": ""..."",
  ""score"": 31
}
{
  ""brief_rationale"": ""..."",
  ""score"": 32
}
{
  ""brief_rationale"": ""..."",
  ""score"": 33
}
{
  ""brief_rationale"": ""..."",
  ""score"": 34
}
{
  ""brief_rationale"": ""..."",
  ""score"": 35
}
{
  ""brief_rationale"": ""..."",
  ""score"": 36
}
{
  ""brief_rationale"": ""..."",
  ""score"": 37
}
{
  ""brief_rationale"": ""..."",
  ""score"": 38
}
{
  ""brief_rationale"": ""..."",
  ""score"": 39
}
{
  ""brief_rationale"": ""..."",
  ""score"": 40
}
{
  ""brief_rationale"": ""..."",
  ""score"": 41
}
{
  ""brief_rationale"": ""..."",
  ""score"": 42
}
{
  ""brief_rationale"": ""..."",
  ""score"": 43
}
{
  ""brief_rationale"": ""..."",
  ""score"": 44
}
{
  ""brief_rationale"": ""..."",
  ""score"": 45
}
{
  ""brief_rationale"": ""..."",
  ""score"": 46
}
{
  ""brief_rationale"": ""..."",",JSON parse error: response did not contain a valid JSON object,1,2.333,2026-07-15T11:46:14
AU01.000846,d1_illness_beliefs,V5_structured_checklist,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  """,JSON parse error: response did not contain a valid JSON object,1,2.333,2026-07-15T11:46:27
AU01.000846,d1_illness_beliefs,V6_minimal_natural,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,1,"{
  ""score"": 1,
  ""brief_rationale"": ""...""
}",,1,2.333,2026-07-15T11:46:28
AU01.000847,d1_illness_beliefs,V1_full_manual_baseline,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 5,
  ""brief_rationale"": ""...""
}
{
  ""score"": 6,
  ""brief_rationale"": ""...""
}
{
  ""score"": 7,
  ""brief_rationale"": ""...""
}
{
  ""score"": 8,
  ""brief_rationale"": ""...""
}
{
  ""score"": 9,
  ""brief_rationale"": ""...""
}
{
  ""score"": 10,
  ""brief_rationale"": ""...""
}
{
  ""score"": 11,
  ""brief_rationale"": ""...""
}
{
  ""score"": 12,
  ""brief_rationale"": ""...""
}
{
  ""score"": 13,
  ""brief_rationale"": ""...""
}
{
  ""score"": 14,
  ""brief_rationale"": ""...""
}
{
  ""score"": 15,
  ""brief_rationale"": ""...""
}
{
  ""score"": 16,
  ""brief_rationale"": ""...""
}
{
  ""score"": 17,
  ""brief_rationale"": ""...""
}
{
  ""score"": 18,
  ""brief_rationale"": ""...""
}
{
  ""score"": 19,
  ""brief_rationale"": ""...""
}
{
  ""score"": 20,
  ""brief_rationale"": ""...""
}
{
  ""score"": 21,
  ""brief_rationale"": ""...""
}
{
  ""score"": 22,
  ""brief_rationale"": ""...""
}
{
  ""score"": 23,
  ""brief_rationale"": ""...""
}
{
  ""score"": 24,
  ""brief_rationale"": ""...""
}
{
  ""score"": 25,
  ""brief_rationale"": ""...""
}
{
  ""score"": 26,
  ""brief_rationale"": ""...""
}
{
  ""score"": 27,
  ""brief_rationale"": ""...""
}
{
  ""score"": 28,
  ""brief_rationale"": ""...""
}
{
  ""score"": 29,
  ""brief_rationale"": ""...""
}
{
  ""score"": 30,
  ""brief_rationale"": ""...""
}
{
  ""score"": 31,
  ""brief_rationale"": ""...""
}
{
  ""score"": 32,
  ""brief_rationale"": ""...""
}
{
  ""score"": 33,
  ""brief_rationale"": ""...""
}
{
  ""score"": 34,
  ""brief_rationale"": ""...""
}
{
  ""score"": 35,
  ""brief_rationale"": ""...""
}
{
  ""score"": 36,
  ""brief_rationale"": ""...""
}
{
  ""score"": 37,
  ""brief_rationale"": ""...""
}
{
  ""score"": 38,
  ""brief_rationale"": ""...""
}
{
  ""score"": 39,
  ""brief_rationale"": ""...""
}
{
  ""score"": 40,
  ""brief_rationale"": ""...""
}
{
  ""score"": 41,
  ""brief_rationale"": ""...""
}
{
  ""score"": 42,
  ""brief_rationale"": ""...""
}
{
  ""score"": 43,
  ""brief_rationale"": ""...""
}
{
  ""score"": 44,
  ""brief_rationale"": ""...""
}
{
  ""score"": 45,
  """,JSON parse error: response did not contain a valid JSON object,1,4.0,2026-07-15T11:46:40
AU01.000847,d1_illness_beliefs,V2_no_anchors,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 0,
  ""brief_rationale"": ""...""
}
{
  ""score"": 1,
  ""brief_rationale"": ""...""
}
{
  ""score"": 2,
  ""brief_rationale"": ""...""
}
{
  ""score"": 3,
  ""brief_rationale"": ""...""
}
{
  ""score"": 4,
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 4
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"": 2
  ""brief_rationale"": ""...""
}
{
  ""score"": 3
  ""brief_rationale"": ""...""
}
{
  ""score"": 0
  ""brief_rationale"": ""...""
}
{
  ""score"": 1
  ""brief_rationale"": ""...""
}
{
  ""score"":",JSON parse error: response did not contain a valid JSON object,1,4.0,2026-07-15T11:46:53
AU01.000847,d1_illness_beliefs,V3_no_rationale,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""score"": 1
}
{
  ""score"": 2
}
{
  ""score"": 3
}
{
  ""score"": 4
}
{
  ""score"": 5
}
{
  ""score"": 6
}
{
  ""score"": 7
}
{
  ""score"": 8
}
{
  ""score"": 9
}
{
  ""score"": 10
}
{
  ""score"": 11
}
{
  ""score"": 12
}
{
  ""score"": 13
}
{
  ""score"": 14
}
{
  ""score"": 15
}
{
  ""score"": 16
}
{
  ""score"": 17
}
{
  ""score"": 18
}
{
  ""score"": 19
}
{
  ""score"": 20
}
{
  ""score"": 21
}
{
  ""score"": 22
}
{
  ""score"": 23
}
{
  ""score"": 24
}
{
  ""score"": 25
}
{
  ""score"": 26
}
{
  ""score"": 27
}
{
  ""score"": 28
}
{
  ""score"": 29
}
{
  ""score"": 30
}
{
  ""score"": 31
}
{
  ""score"": 32
}
{
  ""score"": 33
}
{
  ""score"": 34
}
{
  ""score"": 35
}
{
  ""score"": 36
}
{
  ""score"": 37
}
{
  ""score"": 38
}
{
  ""score"": 39
}
{
  ""score"": 40
}
{
  ""score"": 41
}
{
  ""score"": 42
}
{
  ""score"": 43
}
{
  ""score"": 44
}
{
  ""score"": 45
}
{
  ""score"": 46
}
{
  ""score"": 47
}
{
  ""score"": 48
}
{
  ""score"": 49
}
{
  ""score"": 50
}
{
  ""score"": 51
}
{
  ""score"": 52
}
{
  ""score"": 53
}
{
  ""score"": 54
}
{
  ""score"": 55
}
{
  ""score"": 56
}
{
  ""score"": 57
}
{
  ""score"": 58
}
{
  ""score"": 59
}
{
  ""score"": 60
}
{
  ""score"": 61
}
{
  ""score"": 62
}
{
  ""score"": 63
}
{
  ""score"": 64
}
{
  ""score"": 65
}
{
  ""score"": 66
}
{
  ""score"": 67
}
{
  ""score"": 68
}
{
  ""score"": 69
}
{
  ""score"": 70
}
{
  ""score"": 71
}
{
  ""score"": 72
}
{
  ""score"": 73
}
{
  ""score"": 74
}
{
  ""score"": 75
}
{
  ""score"": 76
}
{
  ""score"": 77
}
{
  ""score"": 78
}
{
  ""score"": 79
}
{
  ""score"": 80
}
{
  ""score"": 81
}
{
  ""score"": 82
}
{
  ""score"": 83
}
{
  ""score"": 84
}
{
  ""score"": 85
}
{
  ""score"": 86
}
{
  ""score"": 87
}
{
  ""score"": 88
}
{
  ""score"": 89
}
{
  ""score"": 90
}
{
  ""score"": 91
}
{
  ""score"": 92
}
{
  ""score"": 93
}
{",JSON parse error: response did not contain a valid JSON object,1,4.0,2026-07-15T11:47:06
AU01.000847,d1_illness_beliefs,V4_evidence_before_score,boldt_1b_it_preview_fp16,/home/woody/iwso/iwso237h/models/boldt_1b_it_preview,,"{
  ""brief_rationale"": ""..."",
  ""score"": 1
}
{
  ""brief_rationale"": ""..."",
  ""score"": 2
}
{
  ""brief_rationale"": ""..."",
  ""score"": 3
}
{
  ""brief_rationale"": ""..."",
  ""score"": 4
}
{
  ""brief_rationale"": ""..."",
  ""score"": 5
}
{
  ""brief_rationale"": ""..."",
  ""score"": 6
}
{
  ""brief_rationale"": ""..."",
  ""score"": 7
}
{
  ""brief_rationale"": ""..."",
  ""score"": 8
}
{
  ""brief_rationale"": ""..."",
  ""score"": 9
}
{
  ""brief_rationale"": ""..."",
  ""score"": 10
}
{
  ""brief_rationale"": ""..."",
  ""score"": 11
}
{
  ""brief_rationale"": ""..."",
  ""score"": 12
}
{
  ""brief_rationale"": ""..."",
  ""score"": 13
}
{
  ""brief_rationale"": ""..."",
  ""score"": 14
}
{
  ""brief_rationale"": ""..."",
  ""score"": 15
}
{
  ""brief_rationale"": ""..."",
  ""score"": 16
}
{
  ""brief_rationale"": ""..."",
  ""score"": 17
}
{
  ""brief_rationale"": ""..."",
  ""score"": 18
}
{
  ""brief_rationale"": ""..."",
  ""score"": 19
}
{
  ""brief_rationale"": ""..."",
  ""score"": 20
}
{
  ""brief_rationale"": ""..."",
  ""score"": 21
}
{
  ""brief_rationale"": ""..."",
  ""score"": 22
}
{
  ""brief_rationale"": ""..."",
  ""score"": 23
}
{
  ""brief_rationale"": ""..."",
  ""score"": 24
}
{
  ""brief_rationale"": ""..."",
  ""score"": 25
}
{
  ""brief_rationale"": ""..."",
  ""score"": 26
}
{
  ""brief_rationale"": ""..."",
  ""score"": 27
}
{
  ""brief_rationale"": ""..."",
  ""score"": 28
}
{
  ""brief_rationale"": ""..."",
  ""score"": 29
}
{
  ""brief_rationale"": ""..."",
  ""score"": 30
}
{
  ""brief_rationale"": ""..."",
  ""score"": 31
}
{
  ""brief_rationale"": ""..."",
  ""score"": 32
}
{
  ""brief_rationale"": ""..."",
  ""score"": 33
}
{
  ""brief_rationale"": ""..."",
  ""score"": 34
}
{
  ""brief_rationale"": ""..."",
  ""score"": 35
}
{
  ""brief_rationale"": ""..."",
  ""score"": 36
}
{
  ""brief_rationale"": ""..."",
  ""score"": 37
}
{
  ""brief_rationale"": ""..."",
  ""score"": 38
}
{
  ""brief_rationale"": ""..."",
  ""score"": 39
}
{
  ""brief_rationale"": ""..."",
  ""score"": 40
}
{
  ""brief_rationale"": ""..."",
  ""score"": 41
}
{
  ""brief_rationale"": ""..."",
  ""score"": 42
}
{
  ""brief_rationale"": ""..."",
  ""score"": 43
}
{
  ""brief_rationale"": ""..."",
  ""score"": 44
}
{
  ""brief_rationale"": ""..."",
  ""score"": 45
}
{
  ""brief_rationale"": ""..."",
  ""score"": 46
}
{
  ""brief_rationale"": ""..."",",JSON parse error: response did not contain a valid JSON object,1,4.0,2026-07-15T11:47:18
